Zip,zindex,el_avg_w,el_num11,el_num12,el_num13,el_num_avg
91316,534800.0,847.666666667,216.0,229.0,214.0,219.666666667
91320,614200.0,779.5,727.0,717.0,734.0,726.0
91321,407200.0,775.777777778,2024.0,2137.0,2099.0,2086.66666667
91324,508200.0,786.5,587.0,569.0,422.0,526.0
91325,586700.0,762.0,1459.0,1391.0,823.0,1224.33333333
91326,676100.0,876.666666667,131.0,125.0,120.0,125.333333333
91331,357500.0,715.333333333,5974.0,5711.0,4374.0,5353.0
91335,422400.0,741.105263158,4125.0,3690.0,2404.0,3406.33333333
91340,345700.0,705.5,4450.0,4069.0,2974.0,3831.0
91342,404800.0,756.375,4986.0,4420.0,3264.0,4223.33333333
91343,456200.0,726.214285714,4896.0,4597.0,3617.0,4370.0
91344,523800.0,740.230769231,2645.0,2195.0,1454.0,2098.0
91345,419000.0,759.0,162.0,158.0,161.0,160.333333333
91350,456400.0,787.875,421.0,413.0,372.0,402.0
91351,399000.0,739.888888889,1694.0,1768.0,1712.0,1724.66666667
91352,396600.0,669.636363636,4610.0,4070.0,2371.0,3683.66666667
91354,496900.0,845.2,302.0,346.0,354.0,334.0
91355,464500.0,805.333333333,431.0,478.0,514.0,474.333333333
91356,834400.0,782.5,694.0,666.0,478.0,612.666666667
91360,602000.0,770.333333333,645.0,768.0,770.0,727.666666667
91361,866800.0,854.0,26.0,29.0,35.0,30.0
91362,719600.0,779.5,641.0,678.0,692.0,670.333333333
91364,766500.0,763.2,553.0,502.0,295.0,450.0
91367,625800.0,730.333333333,917.0,868.0,805.0,863.333333333
91377,692300.0,879.8,116.0,170.0,129.0,138.333333333
91384,468800.0,726.8,279.0,324.0,321.0,308.0
91387,446100.0,780.75,345.0,353.0,365.0,354.333333333
91390,548800.0,751.0,39.0,35.0,38.0,37.3333333333
91401,629700.0,715.0,2005.0,1906.0,1435.0,1782.0
91402,356400.0,697.6,4027.0,3704.0,2516.0,3415.66666667
91403,842500.0,836.0,121.0,127.0,123.0,123.666666667
91405,431500.0,678.5,2490.0,2335.0,1591.0,2138.66666667
91406,453400.0,717.75,3356.0,3336.0,2430.0,3040.66666667
91411,571600.0,639.8,2191.0,1975.0,1267.0,1811.0
91423,821000.0,770.666666667,452.0,432.0,265.0,383.0
91436,1336400.0,837.0,67.0,81.0,68.0,72.0
91501,650500.0,829.5,351.0,356.0,362.0,356.333333333
91502,445800.0,728.0,478.0,505.0,436.0,473.0
91504,646700.0,798.0,574.0,512.0,441.0,509.0
91505,615100.0,799.2,467.0,422.0,393.0,427.333333333
91506,640600.0,727.0,735.0,767.0,617.0,706.333333333
91601,512400.0,684.5,1941.0,1759.0,949.0,1549.66666667
91602,680600.0,682.333333333,532.0,476.0,214.0,407.333333333
91604,1017400.0,850.0,44.0,41.0,45.0,43.3333333333
91605,423200.0,733.125,2453.0,2399.0,1882.0,2244.66666667
91606,452000.0,757.8,2065.0,1906.0,1296.0,1755.66666667
91607,702200.0,840.0,140.0,157.0,163.0,153.333333333
91701,470000.0,829.4,602.0,655.0,689.0,648.666666667
91702,366600.0,718.071428571,3013.0,2815.0,2497.0,2775.0
91706,361100.0,736.05,5855.0,5644.0,5212.0,5570.33333333
91708,423500.0,852.0,83.0,90.0,92.0,88.3333333333
91709,584100.0,845.785714286,1103.0,1112.0,1102.0,1105.66666667
91710,408200.0,745.714285714,2727.0,2626.0,2586.0,2646.33333333
91711,597300.0,817.555555556,501.0,507.0,468.0,492.0
91722,401500.0,738.625,1369.0,1335.0,1193.0,1299.0
91723,436100.0,728.166666667,755.0,724.0,667.0,715.333333333
91724,481800.0,736.8,460.0,461.0,474.0,465.0
91730,364200.0,807.909090909,1221.0,1189.0,1111.0,1173.66666667
91731,402300.0,749.166666667,2173.0,2078.0,2163.0,2138.0
91732,414100.0,725.176470588,6060.0,5952.0,5816.0,5942.66666667
91733,395300.0,750.375,2519.0,2444.0,2474.0,2479.0
91737,544700.0,839.4,210.0,241.0,290.0,247.0
91739,547600.0,847.666666667,550.0,633.0,795.0,659.333333333
91740,447100.0,771.0,272.0,290.0,296.0,286.0
91741,586600.0,805.833333333,286.0,308.0,346.0,313.333333333
91744,371600.0,745.5,5329.0,5338.0,5008.0,5225.0
91745,578900.0,823.642857143,1440.0,1512.0,1417.0,1456.33333333
91746,374500.0,730.166666667,1540.0,1444.0,1434.0,1472.66666667
91748,562900.0,802.714285714,1653.0,1555.0,1503.0,1570.33333333
91750,540200.0,819.333333333,97.0,105.0,111.0,104.333333333
91752,405200.0,723.0,1319.0,1308.0,1304.0,1310.33333333
91754,546500.0,801.142857143,1592.0,1475.0,1415.0,1494.0
91755,545500.0,804.666666667,606.0,552.0,575.0,577.666666667
91761,357500.0,759.0,2449.0,2479.0,2409.0,2445.66666667
91762,325400.0,731.333333333,5132.0,4860.0,4597.0,4863.0
91763,332800.0,733.090909091,3738.0,3672.0,3553.0,3654.33333333
91764,302100.0,724.909090909,2840.0,2924.0,2869.0,2877.66666667
91765,624600.0,849.181818182,939.0,988.0,1064.0,997.0
91766,326200.0,683.266666667,4294.0,4205.0,4347.0,4282.0
91767,331600.0,656.214285714,2409.0,2256.0,2232.0,2299.0
91768,319900.0,721.444444444,2565.0,2459.0,2074.0,2366.0
91770,490600.0,806.357142857,3938.0,3722.0,3431.0,3697.0
91773,518300.0,774.0,263.0,256.0,243.0,254.0
91775,753000.0,890.25,479.0,520.0,492.0,497.0
91776,556900.0,764.285714286,2554.0,2825.0,2355.0,2578.0
91780,654900.0,849.333333333,1197.0,1098.0,1156.0,1150.33333333
91784,586900.0,858.333333333,162.0,140.0,137.0,146.333333333
91786,402400.0,779.3,1027.0,1026.0,1202.0,1085.0
91789,699700.0,879.2,1249.0,1242.0,1325.0,1272.0
91790,446000.0,803.8,847.0,864.0,865.0,858.666666667
91791,517900.0,796.111111111,821.0,798.0,718.0,779.0
91792,435700.0,747.5,515.0,511.0,478.0,501.333333333
91801,539300.0,829.571428571,2975.0,2631.0,2414.0,2673.33333333
91803,548300.0,843.0,988.0,909.0,869.0,922.0
91901,487200.0,753.5,71.0,66.0,58.0,65.0
91902,529400.0,798.0,165.0,160.0,172.0,165.666666667
91906,227300.0,631.0,52.0,37.0,46.0,45.0
91910,400100.0,800.133333333,4209.0,4067.0,4166.0,4147.33333333
91911,372300.0,766.090909091,5371.0,5601.0,5520.0,5497.33333333
91913,457300.0,812.454545455,2421.0,2524.0,2634.0,2526.33333333
91914,609900.0,843.75,812.0,780.0,813.0,801.666666667
91915,453700.0,805.25,914.0,991.0,1019.0,974.666666667
91932,382600.0,721.6,1200.0,1122.0,1095.0,1139.0
91935,602900.0,743.0,189.0,166.0,171.0,175.333333333
91941,514100.0,763.4,763.0,744.0,788.0,765.0
91942,414000.0,786.0,236.0,198.0,189.0,207.666666667
91945,348000.0,764.6,612.0,626.0,847.0,695.0
91950,317600.0,775.615384615,4078.0,4599.0,4705.0,4460.66666667
91962,305100.0,605.0,101.0,90.0,82.0,91.0
91977,359000.0,732.166666667,2286.0,2241.0,1957.0,2161.33333333
91978,414200.0,690.5,316.0,335.0,269.0,306.666666667
92004,229600.0,673.333333333,199.0,224.0,202.0,208.333333333
92007,860900.0,813.0,61.0,61.0,53.0,58.3333333333
92008,718500.0,735.777777778,748.0,733.0,719.0,733.333333333
92009,736500.0,829.0,481.0,474.0,422.0,459.0
92011,767800.0,793.0,75.0,69.0,86.0,76.6666666667
92014,1606500.0,839.5,50.0,45.0,51.0,48.6666666667
92019,435900.0,743.0,1959.0,2141.0,1910.0,2003.33333333
92020,416600.0,731.538461538,2214.0,2309.0,2362.0,2295.0
92021,382400.0,731.666666667,1861.0,1912.0,1610.0,1794.33333333
92024,803000.0,746.5,655.0,674.0,664.0,664.333333333
92025,434900.0,711.75,2906.0,2760.0,2885.0,2850.33333333
92026,412100.0,701.777777778,3368.0,3409.0,3554.0,3443.66666667
92027,367900.0,703.818181818,4007.0,3794.0,3893.0,3898.0
92028,487100.0,701.875,2264.0,2150.0,2139.0,2184.33333333
92029,630500.0,834.0,50.0,53.0,61.0,54.6666666667
92036,293500.0,713.333333333,57.0,54.0,50.0,53.6666666667
92037,1282800.0,854.0,507.0,495.0,451.0,484.333333333
92040,408900.0,717.625,453.0,428.0,431.0,437.333333333
92056,412800.0,721.142857143,828.0,877.0,848.0,851.0
92057,382000.0,721.909090909,2319.0,2359.0,2192.0,2290.0
92058,386200.0,726.833333333,1041.0,1023.0,959.0,1007.66666667
92061,480700.0,754.0,105.0,112.0,113.0,110.0
92064,606400.0,803.2,1114.0,1149.0,1166.0,1143.0
92065,433000.0,729.0,910.0,850.0,843.0,867.666666667
92067,2737100.0,889.5,37.0,47.0,53.0,45.6666666667
92069,435800.0,775.111111111,2995.0,2771.0,2879.0,2881.66666667
92071,396000.0,786.4,525.0,579.0,491.0,531.666666667
92075,1172600.0,740.0,134.0,160.0,162.0,152.0
92078,502000.0,764.0,1124.0,1018.0,1118.0,1086.66666667
92081,466600.0,732.666666667,900.0,921.0,893.0,904.666666667
92082,503200.0,740.4,772.0,788.0,724.0,761.333333333
92083,366800.0,704.083333333,2564.0,2603.0,2614.0,2593.66666667
92084,447300.0,697.375,2199.0,2374.0,2386.0,2319.66666667
92101,486800.0,659.272727273,1242.0,1339.0,1402.0,1327.66666667
92102,363200.0,742.235294118,2989.0,3030.0,3146.0,3055.0
92103,611200.0,805.6,499.0,572.0,607.0,559.333333333
92104,478800.0,810.333333333,482.0,479.0,479.0,480.0
92105,318500.0,725.357142857,3974.0,3954.0,3913.0,3947.0
92106,925700.0,719.3,705.0,699.0,772.0,725.333333333
92107,766900.0,801.0,274.0,244.0,217.0,245.0
92109,718700.0,761.0,1058.0,946.0,864.0,956.0
92110,503000.0,791.333333333,122.0,105.0,93.0,106.666666667
92111,474300.0,710.733333333,1671.0,1643.0,1605.0,1639.66666667
92113,303300.0,699.923076923,3568.0,3830.0,3653.0,3683.66666667
92114,342000.0,744.583333333,2275.0,2260.0,2336.0,2290.33333333
92115,397100.0,731.166666667,2650.0,2792.0,3124.0,2855.33333333
92116,461600.0,793.0,501.0,489.0,465.0,485.0
92117,513200.0,728.923076923,1934.0,1841.0,1737.0,1837.33333333
92118,1424100.0,811.666666667,78.0,74.0,84.0,78.6666666667
92119,487000.0,797.0,350.0,307.0,255.0,304.0
92120,506600.0,802.666666667,734.0,739.0,691.0,721.333333333
92121,515300.0,614.0,299.0,270.0,262.0,277.0
92122,589500.0,811.8,842.0,854.0,759.0,818.333333333
92123,466800.0,818.0,532.0,447.0,415.0,464.666666667
92124,545000.0,777.5,956.0,895.0,777.0,876.0
92126,461200.0,839.111111111,1853.0,1911.0,1814.0,1859.33333333
92127,683300.0,893.25,808.0,885.0,962.0,885.0
92128,526900.0,872.333333333,671.0,648.0,709.0,676.0
92129,652300.0,869.166666667,1254.0,1243.0,1339.0,1278.66666667
92130,896100.0,906.416666667,659.0,717.0,696.0,690.666666667
92131,671500.0,881.833333333,617.0,621.0,613.0,617.0
92139,341000.0,783.428571429,1152.0,1175.0,1137.0,1154.66666667
92154,357500.0,754.25,6530.0,6424.0,6431.0,6461.66666667
92173,327700.0,763.0,2508.0,2508.0,2673.0,2563.0
92201,198700.0,739.666666667,4716.0,4637.0,4824.0,4725.66666667
92203,294400.0,765.5,403.0,439.0,495.0,445.666666667
92210,701500.0,844.0,81.0,85.0,88.0,84.6666666667
92211,325000.0,800.0,143.0,160.0,154.0,152.333333333
92220,186500.0,738.666666667,1025.0,972.0,844.0,947.0
92223,259100.0,782.444444444,1326.0,1285.0,1172.0,1261.0
92225,122000.0,597.5,375.0,340.0,321.0,345.333333333
92227,147200.0,705.0,1574.0,1592.0,1588.0,1584.66666667
92231,174300.0,666.363636364,4764.0,4506.0,4815.0,4695.0
92234,231100.0,716.777777778,3526.0,3387.0,3195.0,3369.33333333
92236,174100.0,688.5,3306.0,3380.0,3350.0,3345.33333333
92240,151000.0,694.0,2406.0,2102.0,2036.0,2181.33333333
92243,159400.0,717.35,4669.0,4178.0,4358.0,4401.66666667
92249,160800.0,813.0,687.0,692.0,734.0,704.333333333
92250,143600.0,687.0,615.0,591.0,622.0,609.333333333
92251,188600.0,776.5,902.0,928.0,903.0,911.0
92252,101800.0,767.0,16.0,17.0,12.0,15.0
92253,386400.0,696.571428571,1008.0,986.0,1105.0,1033.0
92254,114000.0,718.0,1112.0,1176.0,1154.0,1147.33333333
92260,321800.0,792.0,914.0,944.0,1056.0,971.333333333
92262,312700.0,719.5,1082.0,1055.0,1012.0,1049.66666667
92264,277100.0,686.0,385.0,368.0,382.0,378.333333333
92270,482600.0,794.0,157.0,157.0,148.0,154.0
92276,158500.0,749.0,243.0,220.0,205.0,222.666666667
92277,93200.0,756.6,109.0,96.0,112.0,105.666666667
92284,136300.0,674.5,191.0,191.0,202.0,194.666666667
92307,200400.0,754.0,613.0,606.0,556.0,591.666666667
92308,176100.0,763.166666667,543.0,577.0,612.0,577.333333333
92311,93000.0,750.333333333,614.0,626.0,617.0,619.0
92313,295500.0,739.0,300.0,291.0,321.0,304.0
92314,200600.0,711.0,82.0,96.0,94.0,90.6666666667
92315,296800.0,739.333333333,229.0,236.0,249.0,238.0
92316,245900.0,708.25,2772.0,2777.0,2879.0,2809.33333333
92324,212500.0,691.333333333,3354.0,3473.0,3511.0,3446.0
92325,165100.0,686.0,30.0,29.0,34.0,31.0
92335,255000.0,753.823529412,7415.0,7354.0,7509.0,7426.0
92336,377900.0,775.285714286,5237.0,5351.0,5401.0,5329.66666667
92337,302100.0,739.636363636,2942.0,3338.0,3412.0,3230.66666667
92344,241700.0,602.0,270.0,292.0,196.0,252.666666667
92345,179000.0,715.818181818,3313.0,3189.0,2666.0,3056.0
92346,264600.0,756.307692308,1669.0,1608.0,1656.0,1644.33333333
92352,332000.0,718.25,229.0,236.0,227.0,230.666666667
92354,358900.0,880.0,134.0,90.0,83.0,102.333333333
92359,224900.0,784.0,36.0,37.0,38.0,37.0
92371,214900.0,773.333333333,299.0,317.0,311.0,309.0
92372,206700.0,738.0,41.0,42.0,43.0,42.0
92373,419100.0,804.166666667,367.0,381.0,356.0,368.0
92374,291200.0,743.222222222,1011.0,935.0,966.0,970.666666667
92376,251800.0,750.058823529,5101.0,5315.0,5616.0,5344.0
92377,317300.0,740.0,1346.0,1454.0,1515.0,1438.33333333
92391,156700.0,770.0,78.0,88.0,112.0,92.6666666667
92392,190900.0,771.714285714,2149.0,2028.0,1946.0,2041.0
92395,171100.0,748.230769231,1358.0,1312.0,1417.0,1362.33333333
92399,303100.0,704.444444444,714.0,827.0,821.0,787.333333333
92404,197500.0,699.933333333,3899.0,3848.0,3283.0,3676.66666667
92405,173400.0,706.5,2195.0,2164.0,2030.0,2129.66666667
92407,234600.0,736.2,2921.0,2869.0,2910.0,2900.0
92408,195700.0,694.0,234.0,266.0,285.0,261.666666667
92501,248200.0,751.0,395.0,433.0,433.0,420.333333333
92503,292300.0,752.4,5065.0,5297.0,5117.0,5159.66666667
92504,274700.0,756.888888889,1843.0,1867.0,1888.0,1866.0
92505,301400.0,766.3,3004.0,3245.0,3166.0,3138.33333333
92506,371000.0,698.0,1595.0,1617.0,1639.0,1617.0
92507,280600.0,706.571428571,1759.0,1748.0,1707.0,1738.0
92508,401300.0,804.5,442.0,430.0,423.0,431.666666667
92509,285500.0,725.578947368,5144.0,5078.0,5188.0,5136.66666667
92530,254000.0,769.6,1775.0,2631.0,2466.0,2290.66666667
92532,323300.0,820.6,520.0,726.0,681.0,642.333333333
92536,308800.0,827.0,37.0,35.0,35.0,35.6666666667
92539,179800.0,622.5,116.0,101.0,94.0,103.666666667
92543,137100.0,682.833333333,837.0,852.0,833.0,840.666666667
92544,192300.0,709.125,719.0,634.0,654.0,669.0
92545,211600.0,716.666666667,1180.0,1092.0,1125.0,1132.33333333
92549,229500.0,837.0,19.0,15.0,18.0,17.3333333333
92551,231400.0,756.5,2466.0,2372.0,2202.0,2346.66666667
92553,222100.0,730.0625,4960.0,4814.0,4215.0,4663.0
92555,296400.0,746.142857143,2017.0,1940.0,1560.0,1839.0
92557,260600.0,757.727272727,2107.0,2026.0,1679.0,1937.33333333
92562,366100.0,736.111111111,384.0,467.0,458.0,436.333333333
92563,357400.0,790.333333333,742.0,716.0,728.0,728.666666667
92567,262800.0,763.0,592.0,593.0,599.0,594.666666667
