Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg
90703,634800.0,942.3125,3805.0,3695.0,3634.0,3711.33333333
91601,512400.0,942.0,152.0,138.0,151.0,147.0
90623,629200.0,941.6,1104.0,1066.0,1007.0,1059.0
91321,407200.0,941.6,254.0,223.0,217.0,231.333333333
92122,589500.0,941.6,411.0,430.0,406.0,415.666666667
95391,487100.0,941.333333333,301.0,357.0,405.0,354.333333333
91790,446000.0,941.2,416.0,430.0,438.0,428.0
94598,826800.0,941.142857143,530.0,550.0,559.0,546.333333333
91722,401500.0,941.0,39.0,40.0,33.0,37.3333333333
90293,541700.0,941.0,18.0,27.0,28.0,24.3333333333
95677,348700.0,940.4,145.0,153.0,150.0,149.333333333
94621,231600.0,940.0,18.0,19.0,13.0,16.6666666667
92869,614000.0,940.0,386.0,388.0,376.0,383.333333333
91324,508200.0,939.666666667,462.0,531.0,475.0,489.333333333
90230,639800.0,939.6,546.0,530.0,512.0,529.333333333
95765,405200.0,939.375,341.0,374.0,391.0,368.666666667
92243,159400.0,939.0,63.0,60.0,64.0,62.3333333333
95742,343900.0,939.0,87.0,101.0,103.0,97.0
90740,809300.0,939.0,25.0,32.0,32.0,29.6666666667
94954,500000.0,938.333333333,68.0,66.0,63.0,65.6666666667
92647,611300.0,938.090909091,787.0,828.0,899.0,838.0
91384,468800.0,938.0,99.0,94.0,85.0,92.6666666667
94089,748000.0,938.0,51.0,47.0,46.0,48.0
92649,679100.0,938.0,524.0,498.0,474.0,498.666666667
93908,704800.0,937.666666667,80.0,76.0,64.0,73.3333333333
91607,702200.0,937.0,16.0,32.0,30.0,26.0
91403,842500.0,937.0,16.0,37.0,45.0,32.6666666667
92586,182700.0,937.0,13.0,19.0,13.0,15.0
94568,672000.0,936.857142857,882.0,941.0,1097.0,973.333333333
91780,654900.0,936.833333333,2448.0,2488.0,2529.0,2488.33333333
94611,942300.0,936.818181818,783.0,769.0,740.0,764.0
95118,782000.0,936.571428571,455.0,608.0,645.0,569.333333333
95405,445700.0,936.5,39.0,38.0,31.0,36.0
93950,713000.0,936.5,131.0,131.0,129.0,130.333333333
90638,466100.0,935.285714286,352.0,339.0,319.0,336.666666667
90503,738500.0,934.75,1932.0,1904.0,1931.0,1922.33333333
94596,804600.0,934.666666667,185.0,211.0,189.0,195.0
91913,457300.0,934.5,343.0,352.0,345.0,346.666666667
92653,658300.0,934.25,207.0,196.0,195.0,199.333333333
91350,456400.0,934.166666667,215.0,205.0,190.0,203.333333333
94702,688800.0,934.0,19.0,21.0,15.0,18.3333333333
92210,701500.0,933.0,21.0,18.0,18.0,19.0
90033,340200.0,933.0,142.0,138.0,117.0,132.333333333
90241,488300.0,932.75,218.0,212.0,198.0,209.333333333
92882,407800.0,932.375,597.0,654.0,634.0,628.333333333
91364,766500.0,932.25,182.0,233.0,252.0,222.333333333
92708,666300.0,932.153846154,3511.0,3725.0,3850.0,3695.33333333
95020,595400.0,932.125,216.0,226.0,242.0,228.0
95010,655600.0,932.0,15.0,15.0,17.0,15.6666666667
92119,487000.0,931.666666667,93.0,86.0,76.0,85.0
92833,471300.0,931.5,2220.0,2181.0,2167.0,2189.33333333
92078,502000.0,931.333333333,304.0,303.0,363.0,323.333333333
91423,821000.0,931.0,78.0,118.0,134.0,110.0
90670,403500.0,931.0,34.0,28.0,22.0,28.0
90245,846600.0,930.75,172.0,176.0,173.0,173.666666667
90620,455700.0,930.714285714,347.0,351.0,355.0,351.0
92592,401200.0,930.533333333,559.0,514.0,498.0,523.666666667
90066,986400.0,930.5,128.0,157.0,167.0,150.666666667
91910,400100.0,930.5,242.0,212.0,187.0,213.666666667
94536,693800.0,930.5,3069.0,3210.0,3357.0,3212.0
94901,878500.0,930.2,119.0,119.0,128.0,122.0
94132,854100.0,930.0,1257.0,1238.0,1228.0,1241.0
91411,571600.0,930.0,390.0,381.0,393.0,388.0
91311,532200.0,929.4,621.0,609.0,559.0,596.333333333
91202,655700.0,929.0,254.0,282.0,280.0,272.0
91016,560300.0,929.0,124.0,115.0,134.0,124.333333333
90631,469300.0,928.6,233.0,228.0,212.0,224.333333333
94903,772700.0,928.5,206.0,206.0,212.0,208.0
90605,408100.0,928.333333333,76.0,79.0,78.0,77.6666666667
94706,718100.0,928.0,924.0,785.0,786.0,831.666666667
92629,776700.0,928.0,71.0,66.0,55.0,64.0
91331,357500.0,927.5,52.0,54.0,64.0,56.6666666667
94553,460300.0,927.4,120.0,125.0,123.0,122.666666667
95054,816100.0,927.333333333,294.0,315.0,306.0,305.0
92084,447300.0,926.5,40.0,53.0,62.0,51.6666666667
95008,890500.0,926.2,309.0,324.0,315.0,316.0
93619,373500.0,926.0,309.0,254.0,252.0,271.666666667
91723,436100.0,926.0,360.0,336.0,312.0,336.0
91711,597300.0,925.888888889,539.0,498.0,479.0,505.333333333
95035,729500.0,925.583333333,3054.0,3195.0,3270.0,3173.0
94122,980300.0,925.4,1816.0,1799.0,1779.0,1798.0
92881,464300.0,925.2,500.0,573.0,609.0,560.666666667
93066,967300.0,925.0,26.0,26.0,17.0,23.0
90247,390100.0,925.0,176.0,160.0,166.0,167.333333333
91387,446100.0,925.0,151.0,127.0,122.0,133.333333333
92124,545000.0,923.833333333,336.0,333.0,316.0,328.333333333
93405,598800.0,923.8,79.0,76.0,83.0,79.3333333333
91748,562900.0,923.714285714,1963.0,1847.0,1838.0,1882.66666667
93001,494700.0,923.5,45.0,54.0,54.0,51.0
92399,303100.0,923.5,52.0,57.0,41.0,50.0
93312,267200.0,923.272727273,274.0,274.0,279.0,275.666666667
91107,764300.0,923.25,116.0,128.0,136.0,126.666666667
92373,419100.0,923.0,257.0,284.0,302.0,281.0
91792,435700.0,923.0,35.0,30.0,20.0,28.3333333333
92705,792900.0,922.777777778,447.0,458.0,501.0,468.666666667
91701,470000.0,922.625,428.0,440.0,449.0,439.0
92880,489900.0,922.571428571,903.0,946.0,999.0,949.333333333
92083,366800.0,922.5,38.0,30.0,36.0,34.6666666667
91356,834400.0,922.5,193.0,200.0,182.0,191.666666667
92591,377800.0,921.571428571,216.0,222.0,228.0,222.0
91754,546500.0,921.4,1770.0,1746.0,1761.0,1759.0
92308,176100.0,921.333333333,106.0,106.0,111.0,107.666666667
90025,751100.0,921.333333333,217.0,219.0,210.0,215.333333333
91505,615100.0,921.25,99.0,106.0,121.0,108.666666667
91732,414100.0,921.125,1233.0,1258.0,1225.0,1238.66666667
93648,123000.0,921.0,11.0,11.0,12.0,11.3333333333
94086,987800.0,920.75,350.0,363.0,333.0,348.666666667
91724,481800.0,920.6,142.0,150.0,146.0,146.0
94066,732000.0,920.571428571,283.0,314.0,328.0,308.333333333
95148,723200.0,920.545454545,3230.0,3350.0,3479.0,3353.0
92201,198700.0,920.5,56.0,61.0,72.0,63.0
94019,904400.0,920.5,38.0,37.0,27.0,34.0
91506,640600.0,919.75,188.0,187.0,174.0,183.0
94043,909200.0,919.666666667,64.0,75.0,65.0,68.0
90041,652000.0,919.5,183.0,182.0,217.0,194.0
91040,462100.0,919.0,56.0,60.0,60.0,58.6666666667
94546,581500.0,918.666666667,935.0,989.0,1034.0,986.0
91803,548300.0,918.5,776.0,784.0,743.0,767.666666667
95616,578700.0,918.333333333,874.0,882.0,836.0,864.0
92056,412800.0,918.333333333,162.0,166.0,168.0,165.333333333
93063,478800.0,918.111111111,473.0,473.0,487.0,477.666666667
91730,364200.0,918.0,272.0,268.0,245.0,261.666666667
93003,493400.0,917.875,218.0,226.0,232.0,225.333333333
92532,323300.0,917.8,119.0,155.0,143.0,139.0
94505,519100.0,917.0,20.0,21.0,21.0,20.6666666667
94085,732900.0,917.0,125.0,115.0,123.0,121.0
95521,276100.0,917.0,19.0,19.0,25.0,21.0
91950,317600.0,917.0,14.0,16.0,11.0,13.6666666667
90814,642700.0,916.5,58.0,55.0,50.0,54.3333333333
92562,366100.0,916.5,303.0,292.0,279.0,291.333333333
92120,506600.0,916.333333333,418.0,443.0,484.0,448.333333333
95125,955100.0,916.0,296.0,419.0,420.0,378.333333333
94550,672600.0,915.857142857,351.0,312.0,322.0,328.333333333
92563,357400.0,915.833333333,489.0,472.0,491.0,484.0
95121,610000.0,915.8,2356.0,2372.0,2325.0,2351.0
95117,845300.0,915.666666667,171.0,172.0,175.0,172.666666667
91801,539300.0,915.285714286,3391.0,3412.0,3227.0,3343.33333333
95678,291300.0,915.2,245.0,269.0,223.0,245.666666667
91501,650500.0,915.0,62.0,53.0,62.0,59.0
91101,452600.0,915.0,82.0,81.0,85.0,82.6666666667
91768,319900.0,915.0,20.0,27.0,32.0,26.3333333333
92675,643900.0,915.0,56.0,61.0,85.0,67.3333333333
91706,361100.0,914.6875,474.0,493.0,500.0,489.0
92126,461200.0,914.666666667,1329.0,1325.0,1348.0,1334.0
91755,545500.0,914.666666667,526.0,556.0,511.0,531.0
90815,572700.0,914.625,478.0,467.0,471.0,472.0
90501,545800.0,913.833333333,528.0,523.0,505.0,518.666666667
95051,859000.0,913.272727273,1487.0,1578.0,1580.0,1548.33333333
92802,447600.0,913.166666667,302.0,309.0,296.0,302.333333333
91752,405200.0,913.0,48.0,57.0,59.0,54.6666666667
92683,528200.0,912.75,4625.0,4742.0,4793.0,4720.0
92057,382000.0,912.666666667,228.0,235.0,243.0,235.333333333
90701,443400.0,912.25,237.0,212.0,203.0,217.333333333
92780,574400.0,912.25,308.0,300.0,281.0,296.333333333
92655,448100.0,912.0,719.0,718.0,682.0,706.333333333
95757,378600.0,912.0,1860.0,1930.0,1990.0,1926.66666667
94063,691300.0,912.0,15.0,20.0,20.0,18.3333333333
95304,481900.0,912.0,32.0,48.0,45.0,41.6666666667
94080,698500.0,911.777777778,470.0,525.0,526.0,507.0
95060,757300.0,911.5,67.0,60.0,52.0,59.6666666667
92626,641900.0,911.166666667,330.0,357.0,400.0,362.333333333
93308,173800.0,911.0,16.0,18.0,15.0,16.3333333333
95132,746900.0,911.0,3128.0,3206.0,3188.0,3174.0
91502,445800.0,911.0,177.0,167.0,138.0,160.666666667
90621,467200.0,911.0,405.0,386.0,400.0,397.0
92590,855000.0,911.0,29.0,38.0,46.0,37.6666666667
93420,573300.0,910.666666667,58.0,62.0,68.0,62.6666666667
94523,596100.0,910.555555556,472.0,484.0,480.0,478.666666667
90034,847800.0,910.166666667,455.0,472.0,459.0,462.0
90006,511800.0,910.0,159.0,137.0,107.0,134.333333333
95003,728300.0,910.0,52.0,63.0,62.0,59.0
95667,279600.0,910.0,36.0,47.0,57.0,46.6666666667
94116,930600.0,909.166666667,2247.0,2170.0,2216.0,2211.0
91763,332800.0,909.166666667,193.0,209.0,194.0,198.666666667
95747,391600.0,909.0,550.0,585.0,536.0,557.0
90807,515000.0,909.0,341.0,348.0,365.0,351.333333333
94945,692300.0,909.0,47.0,54.0,57.0,52.6666666667
90604,443500.0,908.75,89.0,79.0,65.0,77.6666666667
93455,353800.0,908.2,94.0,86.0,84.0,88.0
92703,387800.0,907.666666667,231.0,227.0,210.0,222.666666667
92223,259100.0,907.333333333,170.0,173.0,166.0,169.666666667
92860,467800.0,907.2,141.0,158.0,160.0,153.0
95006,413700.0,907.0,85.0,92.0,100.0,92.3333333333
92840,447800.0,907.0,1599.0,1653.0,1681.0,1644.33333333
93901,398700.0,907.0,76.0,82.0,75.0,77.6666666667
92844,435900.0,906.625,2370.0,2499.0,2470.0,2446.33333333
91351,399000.0,906.6,233.0,203.0,174.0,203.333333333
91786,402400.0,906.125,268.0,285.0,272.0,275.0
91761,357500.0,906.0,151.0,160.0,161.0,157.333333333
95401,387500.0,906.0,66.0,64.0,60.0,63.3333333333
95123,683400.0,906.0,1455.0,1457.0,1392.0,1434.66666667
91762,325400.0,905.857142857,180.0,168.0,164.0,170.666666667
95139,672600.0,905.5,116.0,110.0,112.0,112.666666667
90706,401700.0,905.333333333,84.0,85.0,86.0,85.0
90717,570100.0,905.0,75.0,81.0,89.0,81.6666666667
93955,375500.0,904.75,142.0,114.0,108.0,121.333333333
94534,426900.0,904.625,311.0,370.0,355.0,345.333333333
94005,675800.0,904.5,56.0,51.0,48.0,51.6666666667
95112,570500.0,904.333333333,378.0,399.0,383.0,386.666666667
93551,302900.0,904.285714286,228.0,234.0,197.0,219.666666667
91770,490600.0,904.142857143,3668.0,3556.0,3506.0,3576.66666667
93311,266000.0,904.1,760.0,786.0,833.0,793.0
91304,528800.0,904.0,144.0,175.0,173.0,164.0
91344,523800.0,903.818181818,1057.0,1024.0,1000.0,1027.0
90504,579000.0,903.0,1267.0,1205.0,1170.0,1214.0
92504,274700.0,902.6,130.0,136.0,119.0,128.333333333
91205,508400.0,902.5,101.0,86.0,78.0,88.3333333333
94403,960600.0,902.285714286,437.0,355.0,359.0,383.666666667
92103,611200.0,902.0,34.0,40.0,40.0,38.0
94960,992700.0,902.0,31.0,31.0,33.0,31.6666666667
96001,217900.0,902.0,106.0,111.0,112.0,109.666666667
93065,485800.0,901.866666667,772.0,837.0,820.0,809.666666667
91325,586700.0,901.714285714,402.0,470.0,520.0,464.0
92804,446500.0,901.529411765,1322.0,1297.0,1244.0,1287.66666667
92801,424600.0,901.5,444.0,437.0,428.0,436.333333333
90712,468900.0,901.428571429,312.0,296.0,279.0,295.666666667
95608,430500.0,901.333333333,350.0,405.0,446.0,400.333333333
93555,151700.0,901.333333333,58.0,68.0,61.0,62.3333333333
95037,779500.0,900.8,468.0,467.0,475.0,470.0
91306,448200.0,900.6,171.0,167.0,161.0,166.333333333
95023,404200.0,900.5,37.0,39.0,42.0,39.3333333333
90042,513700.0,900.5,51.0,49.0,46.0,48.6666666667
92843,439000.0,900.363636364,1718.0,1652.0,1647.0,1672.33333333
91932,382600.0,900.0,15.0,14.0,13.0,14.0
92336,377900.0,899.727272727,324.0,326.0,323.0,324.333333333
91367,625800.0,899.333333333,543.0,527.0,632.0,567.333333333
92116,461600.0,899.0,43.0,45.0,39.0,42.3333333333
94579,469700.0,898.75,404.0,452.0,446.0,434.0
92071,396000.0,898.666666667,58.0,59.0,62.0,59.6666666667
90715,415400.0,898.5,122.0,110.0,104.0,112.0
92505,301400.0,898.333333333,172.0,181.0,155.0,169.333333333
90808,567700.0,898.166666667,346.0,299.0,315.0,320.0
91343,456200.0,898.142857143,215.0,205.0,209.0,209.666666667
93314,355600.0,898.0,53.0,35.0,46.0,44.6666666667
93449,694100.0,898.0,12.0,14.0,14.0,13.3333333333
92584,309800.0,897.75,212.0,202.0,182.0,198.666666667
