Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average,zindex,avg_w,num11,num12,num13,num_avg,SCF,total students,percent public,expected api,API - expected,Population,,percent public rank,API-expected rank,,,,59.12553603,,,,,,,,,,,,,,
90265,147,113,141,133.6666667,2423500,908,1524,1519,1483,1508.666667,902,1642.333333,0.918611731,1000,-92,18116,,498,90.5,,,,,,,,,,,,,,,,,,
90266,920,944,943,935.6666667,1856800,949.8571429,4979,5034,5109,5040.666667,902,5976.333333,0.843438005,1000,-50.14285714,35135,,292,241,,,,,,,,,,,,,,,,,,
90270,245,170,155,190,371400,785.6,2695,2713,2673,2693.666667,902,2883.666667,0.934111663,786.2422963,-0.6422963,27372,,562,617,,,,,,,,,,,,,,,,,,
90272,1197,1422,1512,1377,2342000,908,2867,2761,2776,2801.333333,902,4178.333333,0.67044276,1000,-92,22986,,113,90.5,,,,,,,,,,,,,,,,,,
90274,1242,1345,1302,1296.333333,1632700,882.75,5411,5438,5488,5445.666667,902,6742,0.807722733,996.3067661,-113.5567661,25209,,234,46,,,,,,,,,,,,,,,,,,
90275,622,615,484,573.6666667,1158900,924.5,5716,5685,5621,5674,902,6247.666667,0.908179054,917.3972713,7.1027287,41804,,459,668,,,,,,,,,,,,,,,,,,
90277,1119,1046,1010,1058.333333,918300,853.8333333,3533,3647,3729,3636.333333,902,4694.666667,0.774566884,877.3263037,-23.49297037,35293,,189,441,,,,,,,,,,,,,,,,,,
90278,137,325,122,194.6666667,781000,912.2,1614,1697,1727,1679.333333,902,1874,0.896122376,854.4595379,57.7404621,40071,,426,984,,,,,,,,,,,,,,,,,,
90280,324,316,345,328.3333333,332800,741.0952381,15765,15390,14510,15221.66667,902,15550,0.978885316,779.8136207,-38.71838261,94396,,795,319,,,,,,,,,,,,,,,,,,
90290,,,,0,1100900,942,190,198,172,186.6666667,902,186.6666667,1,907.7376033,34.2623967,6368,,1056,867,,,,,,,,,,,,,,,,,,
90291,287,258,269,271.3333333,1373800,855.6666667,818,835,895,849.3333333,902,1120.666667,0.757882213,953.1880067,-97.52134003,28341,,170,72,,,,,,,,,,,,,,,,,,
90292,,,,0,821800,762,349,322,321,330.6666667,902,330.6666667,1,861.2546147,-99.2546147,21576,,1056,67,,,,,,,,,,,,,,,,,,
90293,339,357,293,329.6666667,541700,875,372,360,356,362.6666667,902,692.3333333,0.523832451,814.6050801,60.3949199,12132,,57,1008,,,,,,,,,,,,,,,,,,
90301,757,762,769,762.6666667,321600,734.5,4579,4368,4358,4435,903,5197.666667,0.853267492,777.9483055,-43.4483055,36568,,315,279,,,,,,,,,,,,,,,,,,
90302,50,74,46,56.66666667,319500,805.8333333,2177,2242,2378,2265.666667,903,2322.333333,0.975599254,777.5985589,28.23477443,29415,,772,825,,,,,,,,,,,,,,,,,,
90303,,,,0,404000,749,3117,2945,2868,2976.666667,903,2976.666667,1,791.6716959,-42.6716959,26176,,1056,286,,,,,,,,,,,,,,,,,,
90305,186,143,227,185.3333333,398700,722.25,1243,1022,995,1086.666667,903,1272,0.854297694,790.7890021,-68.5390021,14853,,319,157,,,,,,,,,,,,,,,,,,
90402,280,280,280,280,3064100,968,253,267,265,261.6666667,904,541.6666667,0.483076923,1000,-32,12250,,37,371,,,,,,,,,,,,,,,,,,
90403,911,1072,1115,1032.666667,958100,935.6666667,2076,2029,2024,2043,904,3075.666667,0.664246234,883.9548345,51.71183217,24525,,105,962,,,,,,,,,,,,,,,,,,
90404,2301,2326,2246,2291,726000,881.5,564,571,563,566,904,2857,0.198109905,845.2995079,36.2004921,21360,,5,878,,,,,,,,,,,,,,,,,,
90405,,,6,6,1171700,781,4130,4110,3986,4075.333333,904,4081.333333,0.998529892,919.5290601,-138.5290601,27186,,951,24,,,,,,,,,,,,,,,,,,
90501,435,428,433,432,545800,790,3271,3318,3428,3339,905,3771,0.885441527,815.2879187,-25.2879187,43180,,394,431,,,,,,,,,,,,,,,,,,
90502,19,12,,15.5,371800,768,760,732,747,746.3333333,905,761.8333333,0.979654343,786.3089147,-18.3089147,18010,,797,477,,,,,,,,,,,,,,,,,,
90503,2062,1944,1977,1994.333333,738500,891.25,5305,5312,5364,5327,905,7321.333333,0.727599709,847.3813329,43.8686671,44383,,145,922,,,,,,,,,,,,,,,,,,
90504,586,556,575,572.3333333,579000,851.75,4395,4359,4220,4324.666667,905,4897,0.883125723,820.8172459,30.9327541,32102,,389,840,,,,,,,,,,,,,,,,,,
90505,99,79,98,92,812100,903,4653,4698,4700,4683.666667,905,4775.666667,0.980735674,859.6391185,43.3608815,36678,,803,919,,,,,,,,,,,,,,,,,,
90601,918,799,862,859.6666667,432600,797.7142857,4603,4450,4404,4485.666667,906,5345.333333,0.839174358,796.4349115,1.279374214,31974,,285,627,,,,,,,,,,,,,,,,,,
90602,253,266,251,256.6666667,448600,813,598,575,568,580.3333333,906,837,0.693349263,799.0996475,13.9003525,25777,,127,722,,,,,,,,,,,,,,,,,,
90603,397,412,441,416.6666667,480800,893,865,905,983,917.6666667,906,1334.333333,0.687734199,804.4624287,88.5375713,20063,,123,1117,,,,,,,,,,,,,,,,,,
90604,833,806,797,812,443500,814.9230769,7551,7473,7405,7476.333333,906,8288.333333,0.902030967,798.2502629,16.67281402,39407,,445,739,,,,,,,,,,,,,,,,,,
90605,65,66,50,60.33333333,408100,750.9,5541,5690,5769,5666.666667,906,5727,0.989465107,792.3545345,-41.4545345,40331,,865,292,,,,,,,,,,,,,,,,,,
90606,19,17,32,22.66666667,382400,785.5,3749,3769,3677,3731.666667,906,3754.333333,0.993962532,788.0743023,-2.5743023,32396,,900,596,,,,,,,,,,,,,,,,,,
90620,525,509,501,511.6666667,455700,854.625,3290,3265,3319,3291.333333,906,3803,0.865457095,800.2821241,54.3428759,45113,,347,969,,,,,,,,,,,,,,,,,,
90621,482,426,471,459.6666667,467200,796.6666667,3640,3668,3600,3636,906,4095.666667,0.887767559,802.1974031,-5.530736433,35153,,403,571,,,,,,,,,,,,,,,,,,
90623,25,59,77,53.66666667,629200,874.6,3952,3910,3842,3901.333333,906,3955,0.986430678,829.1778551,45.4221449,15554,,845,938,,,,,,,,,,,,,,,,,,
90630,964,969,933,955.3333333,539800,902.625,6448,6503,6558,6503,906,7458.333333,0.871910615,814.2886427,88.3363573,47993,,362,1115,,,,,,,,,,,,,,,,,,
90631,1080,934,870,961.3333333,469300,810.7857143,8091,7926,7780,7932.333333,906,8893.666667,0.891908099,802.5471497,8.238564586,67619,,414,675,,,,,,,,,,,,,,,,,,
90638,1010,1153,1069,1077.333333,466100,848.9,5147,5142,5192,5160.333333,906,6237.666667,0.827285844,802.0142025,46.8857975,49012,,270,946,,,,,,,,,,,,,,,,,,
90640,1831,1733,1752,1772,422000,699.3333333,11329,10690,10330,10783,906,12555,0.858861012,794.6695239,-95.33619057,62549,,332,80,,,,,,,,,,,,,,,,,,
90650,956,916,858,910,375800,793.0909091,11441,11061,10847,11116.33333,906,12026.33333,0.924332714,786.9750987,6.115810391,105549,,525,658,,,,,,,,,,,,,,,,,,
90660,632,604,595,610.3333333,370700,771.2142857,7535,7365,7182,7360.666667,906,7971,0.92343077,786.1257141,-14.91142839,62928,,521,497,,,,,,,,,,,,,,,,,,
90670,940,928,880,916,403500,826,3982,3879,3780,3880.333333,906,4796.333333,0.80902078,791.5884229,34.4115771,14866,,238,870,,,,,,,,,,,,,,,,,,
90680,180,172,175,175.6666667,397700,758.5,661,656,673,663.3333333,906,839,0.790623758,790.6224561,-32.1224561,29945,,207,370,,,,,,,,,,,,,,,,,,
90701,176,181,191,182.6666667,443400,837.25,1769,1741,1799,1769.666667,907,1952.333333,0.906436742,798.2336083,39.0163917,16591,,454,893,,,,,,,,,,,,,,,,,,
90703,847,799,792,812.6666667,634800,851.8333333,9799,9931,9994,9908,907,10720.66667,0.924196256,830.1105127,21.72282063,49399,,524,779,,,,,,,,,,,,,,,,,,
90704,,,,0,576600,781,464,462,469,465,907,465,1,820.4175355,-39.4175355,4090,,1056,307,,,,,,,,,,,,,,,,,,
90706,1905,1777,1775,1819,401700,752.5,5219,5118,5002,5113,907,6932,0.737593768,791.2886401,-38.7886401,76615,,152,318,,,,,,,,,,,,,,,,,,
90710,129,110,128,122.3333333,472800,769.75,3368,3245,3164,3259,907,3381.333333,0.963820978,803.1300607,-33.3800607,25457,,702,358,,,,,,,,,,,,,,,,,,
90712,191,174,183,182.6666667,468900,816.375,3576,3452,3362,3463.333333,907,3646,0.949899433,802.4805313,13.8944687,31499,,626,721,,,,,,,,,,,,,,,,,,
90713,723,679,628,676.6666667,484900,804.5714286,8368,8121,7777,8088.666667,907,8765.333333,0.922801947,805.1452673,-0.573838729,27925,,516,618,,,,,,,,,,,,,,,,,,
90715,,,,0,415400,791.6,2403,2394,2380,2392.333333,907,2392.333333,1,793.5703203,-1.9703203,20388,,1056,601,,,,,,,,,,,,,,,,,,
90716,26,18,13,19,324100,741,1018,987,960,988.3333333,907,1007.333333,0.981138319,778.3646705,-37.3646705,14184,,811,330,,,,,,,,,,,,,,,,,,
90717,653,637,590,626.6666667,570100,825,2765,2669,2560,2664.666667,907,3291.333333,0.809600972,819.3349865,5.6650135,21318,,239,656,,,,,,,,,,,,,,,,,,
90720,463,464,462,463,797000,939.75,6690,6678,6822,6730,907,7193,0.935631864,857.1242739,82.6257261,21751,,571,1092,,,,,,,,,,,,,,,,,,
90723,200,193,193,195.3333333,321000,784.5,10085,10053,10111,10083,907,10278.33333,0.980995622,777.8483779,6.6516221,54099,,808,661,,,,,,,,,,,,,,,,,,
90731,765,760,731,752,496200,769.0769231,7118,6777,6775,6890,907,7642,0.901596441,807.0272371,-37.95031402,59662,,443,325,,,,,,,,,,,,,,,,,,
90732,794,800,800,798,552500,869.5,1243,1228,1260,1243.666667,907,2041.666667,0.609142857,816.4037769,53.0962231,21115,,82,967,,,,,,,,,,,,,,,,,,
90740,,,,0,809300,918,447,472,491,470,907,470,1,859.1727897,58.8272103,23729,,1056,994,,,,,,,,,,,,,,,,,,
90744,442,441,495,459.3333333,372200,775.9,8009,7452,6523,7328,907,7787.333333,0.941015324,786.3755331,-10.4755331,53815,,599,534,,,,,,,,,,,,,,,,,,
90745,395,330,409,378,400900,768.5454545,8256,7410,6454,7373.333333,907,7751.333333,0.951234196,791.1554033,-22.60994876,57251,,637,447,,,,,,,,,,,,,,,,,,
90746,,16,99,57.5,442000,775.75,2452,2342,2332,2375.333333,907,2432.833333,0.976365007,798.0004439,-22.2504439,25990,,779,450,,,,,,,,,,,,,,,,,,
90755,,,,0,406800,813,1319,1305,1419,1347.666667,907,1347.666667,1,792.1380247,20.8619753,11074,,1056,772,,,,,,,,,,,,,,,,,,
