Zip,zindex,sd_avg_w,sd_num11,sd_num12,sd_num13,sd_num_avg
94952,629400.0,811.6,245.0,232.0,244.0,240.333333333
95661,379100.0,811.555555556,1043.0,1005.0,1065.0,1037.66666667
91745,578900.0,810.866666667,4250.0,4171.0,4507.0,4309.33333333
91915,453700.0,810.5,759.0,822.0,1008.0,863.0
92880,489900.0,809.571428571,3501.0,3276.0,3281.0,3352.66666667
91791,517900.0,809.333333333,2869.0,2785.0,2877.0,2843.66666667
92124,545000.0,809.25,2517.0,2360.0,2503.0,2460.0
95816,425100.0,809.0,681.0,803.0,738.0,740.666666667
90602,448600.0,809.0,525.0,505.0,500.0,510.0
91913,457300.0,809.0,2289.0,2232.0,2574.0,2365.0
94588,789400.0,808.833333333,269.0,259.0,263.0,263.666666667
92371,214900.0,808.666666667,881.0,1004.0,1052.0,979.0
92116,461600.0,808.4,796.0,856.0,821.0,824.333333333
91040,462100.0,808.333333333,1165.0,1234.0,1160.0,1186.33333333
94534,426900.0,808.333333333,1605.0,1798.0,1949.0,1784.0
94709,772100.0,808.0,129.0,107.0,127.0,121.0
92071,396000.0,808.0,1830.0,1941.0,2187.0,1986.0
95121,610000.0,807.8,2982.0,2880.0,2754.0,2872.0
91741,586600.0,807.666666667,949.0,967.0,1218.0,1044.66666667
91773,518300.0,807.4,1524.0,1592.0,1653.0,1589.66666667
90755,406800.0,807.333333333,1209.0,1188.0,1298.0,1231.66666667
90025,751100.0,807.2,1518.0,1422.0,1464.0,1468.0
95949,335100.0,807.166666667,500.0,471.0,491.0,487.333333333
91755,545500.0,807.0,1161.0,1066.0,1124.0,1117.0
93449,694100.0,807.0,302.0,318.0,320.0,313.333333333
91204,424600.0,807.0,385.0,417.0,423.0,408.333333333
95405,445700.0,807.0,458.0,448.0,453.0,453.0
90504,579000.0,806.625,1656.0,1928.0,1975.0,1853.0
92203,294400.0,806.5,908.0,1075.0,1044.0,1009.0
95409,536500.0,806.5,474.0,536.0,519.0,509.666666667
92011,767800.0,806.0,144.0,137.0,177.0,152.666666667
92647,611300.0,805.615384615,2792.0,2818.0,3033.0,2881.0
92595,327000.0,805.571428571,1789.0,2426.0,2538.0,2251.0
90701,443400.0,805.5,1146.0,1161.0,1195.0,1167.33333333
95110,517500.0,805.0,868.0,887.0,924.0,893.0
95570,353200.0,805.0,99.0,116.0,99.0,104.666666667
93636,266000.0,804.75,502.0,564.0,560.0,542.0
91730,364200.0,804.454545455,2948.0,3027.0,3350.0,3108.33333333
95130,980700.0,804.25,620.0,628.0,602.0,616.666666667
90703,634800.0,804.166666667,3222.0,3521.0,3619.0,3454.0
94109,933300.0,803.666666667,1487.0,1488.0,1406.0,1460.33333333
95066,703100.0,803.333333333,206.0,229.0,225.0,220.0
90302,319500.0,803.0,1897.0,1924.0,2042.0,1954.33333333
91902,529400.0,803.0,219.0,236.0,289.0,248.0
96073,313300.0,802.8,433.0,466.0,505.0,468.0
92586,182700.0,802.5,665.0,679.0,634.0,659.333333333
92064,606400.0,802.3,1356.0,1388.0,1407.0,1383.66666667
92139,341000.0,802.142857143,2557.0,2661.0,2830.0,2682.66666667
92624,747800.0,802.0,112.0,107.0,132.0,117.0
92587,345300.0,802.0,284.0,270.0,268.0,274.0
90807,515000.0,801.75,1673.0,1612.0,1711.0,1665.33333333
91748,562900.0,801.714285714,2488.0,2585.0,2734.0,2602.33333333
92869,614000.0,801.555555556,2465.0,2581.0,2754.0,2600.0
94505,519100.0,801.5,189.0,193.0,206.0,196.0
94949,769200.0,801.5,392.0,439.0,482.0,437.666666667
92656,511400.0,801.285714286,826.0,913.0,1006.0,915.0
95223,244700.0,801.0,70.0,69.0,61.0,66.6666666667
91344,523800.0,799.769230769,6612.0,6851.0,6313.0,6592.0
95132,746900.0,799.4,2416.0,2394.0,2395.0,2401.66666667
95662,330800.0,799.181818182,1577.0,1653.0,1755.0,1661.66666667
95355,246900.0,799.125,4564.0,4749.0,4899.0,4737.33333333
94619,533000.0,799.111111111,1855.0,1922.0,2237.0,2004.66666667
91202,655700.0,799.0,1824.0,1848.0,1954.0,1875.33333333
92211,325000.0,799.0,236.0,305.0,325.0,288.666666667
95228,328200.0,799.0,100.0,82.0,103.0,95.0
91901,487200.0,799.0,254.0,340.0,377.0,323.666666667
91711,597300.0,798.727272727,1724.0,1815.0,1861.0,1800.0
90015,571300.0,797.833333333,1900.0,1899.0,1866.0,1888.33333333
90815,572700.0,797.625,3970.0,3712.0,3606.0,3762.66666667
95746,650400.0,797.25,174.0,161.0,230.0,188.333333333
95829,301700.0,796.6,2266.0,2391.0,2600.0,2419.0
93012,517700.0,796.5,773.0,956.0,1072.0,933.666666667
94960,992700.0,796.5,86.0,87.0,87.0,86.6666666667
91321,407200.0,796.333333333,2570.0,2866.0,3144.0,2860.0
91355,464500.0,796.0,618.0,662.0,740.0,673.333333333
95503,230600.0,795.777777778,976.0,1055.0,1047.0,1026.0
94015,701000.0,795.75,2037.0,2232.0,2386.0,2218.33333333
94597,657200.0,795.5,191.0,241.0,194.0,208.666666667
95722,407200.0,795.0,38.0,45.0,43.0,42.0
92843,439000.0,794.818181818,5195.0,4924.0,5121.0,5080.0
90712,468900.0,794.625,2185.0,2129.0,2068.0,2127.33333333
92649,679100.0,794.25,710.0,804.0,901.0,805.0
92069,435800.0,793.555555556,3932.0,4106.0,4281.0,4106.33333333
92078,502000.0,793.5,1699.0,1817.0,2149.0,1888.33333333
92252,101800.0,793.5,338.0,338.0,298.0,324.666666667
93433,381900.0,793.333333333,611.0,589.0,589.0,596.333333333
95562,181100.0,793.0,166.0,155.0,161.0,160.666666667
96057,141100.0,793.0,35.0,40.0,38.0,37.6666666667
92285,70400.0,793.0,102.0,83.0,94.0,93.0
94044,714100.0,792.428571429,545.0,694.0,760.0,666.333333333
93271,265300.0,792.0,34.0,35.0,41.0,36.6666666667
92109,718700.0,791.714285714,1744.0,1610.0,1571.0,1641.66666667
93654,170100.0,791.6,3746.0,3967.0,3979.0,3897.33333333
91945,348000.0,791.4,1627.0,1652.0,1682.0,1653.66666667
91606,452000.0,791.2,3407.0,3187.0,2718.0,3104.0
94080,698500.0,790.909090909,2682.0,2837.0,3074.0,2864.33333333
92567,262800.0,790.5,1074.0,1143.0,1186.0,1134.33333333
94501,727800.0,789.875,2352.0,2452.0,2487.0,2430.33333333
96022,190200.0,789.8,1006.0,1046.0,1088.0,1046.66666667
90029,659100.0,789.75,2666.0,2639.0,2643.0,2649.33333333
90808,567700.0,789.625,2472.0,2158.0,2203.0,2277.66666667
90065,599100.0,789.5,3921.0,3810.0,3747.0,3826.0
94566,919800.0,789.5,490.0,514.0,501.0,501.666666667
91950,317600.0,789.307692308,6047.0,6192.0,6407.0,6215.33333333
92391,156700.0,789.0,155.0,175.0,192.0,174.0
91304,528800.0,789.0,1447.0,1347.0,1375.0,1389.66666667
96052,160800.0,789.0,25.0,31.0,26.0,27.3333333333
92653,658300.0,789.0,693.0,763.0,837.0,764.333333333
92626,641900.0,788.833333333,3193.0,3269.0,3195.0,3219.0
94579,469700.0,788.5,893.0,902.0,998.0,931.0
91387,446100.0,788.5,486.0,665.0,669.0,606.666666667
91754,546500.0,788.142857143,2266.0,2241.0,2447.0,2318.0
93238,194600.0,788.0,36.0,20.0,18.0,24.6666666667
90806,422800.0,788.0,1884.0,1953.0,1847.0,1894.66666667
93908,704800.0,788.0,45.0,46.0,50.0,47.0
91362,719600.0,788.0,901.0,950.0,1071.0,974.0
95357,231700.0,787.75,1567.0,1664.0,1622.0,1617.66666667
90604,443500.0,787.692307692,4181.0,4166.0,4615.0,4320.66666667
95672,382100.0,787.666666667,288.0,294.0,303.0,295.0
92504,274700.0,787.222222222,4449.0,4454.0,4606.0,4503.0
94546,581500.0,787.1,1318.0,1310.0,1432.0,1353.33333333
93063,478800.0,786.818181818,1676.0,1899.0,1754.0,1776.33333333
95148,723200.0,786.727272727,3246.0,3126.0,3055.0,3142.33333333
92832,431400.0,786.6,1759.0,1827.0,1858.0,1814.66666667
93013,773600.0,786.6,1013.0,1057.0,1085.0,1051.66666667
94585,286000.0,786.5,1130.0,1250.0,1428.0,1269.33333333
95119,720100.0,786.333333333,586.0,625.0,610.0,607.0
93451,296000.0,786.0,222.0,239.0,250.0,237.0
91502,445800.0,786.0,759.0,88.0,751.0,532.666666667
95713,285700.0,786.0,245.0,244.0,264.0,251.0
93460,755800.0,786.0,305.0,290.0,318.0,304.333333333
