Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg
91709,584100.0,899.571428571,3233.0,3091.0,2919.0,3081.0
91324,508200.0,899.333333333,976.0,948.0,934.0,952.666666667
94401,703600.0,899.25,344.0,367.0,388.0,366.333333333
91791,517900.0,899.142857143,373.0,331.0,293.0,332.333333333
91301,753500.0,898.666666667,2787.0,2855.0,2793.0,2811.66666667
90815,572700.0,898.375,2555.0,2506.0,2377.0,2479.33333333
93449,694100.0,898.0,487.0,494.0,508.0,496.333333333
95650,473700.0,897.666666667,2364.0,2418.0,2390.0,2390.66666667
92807,627100.0,897.5,3087.0,2940.0,2894.0,2973.66666667
92008,718500.0,897.4,3151.0,3152.0,3175.0,3159.33333333
92549,229500.0,897.0,149.0,126.0,125.0,133.333333333
92821,576900.0,896.75,1903.0,1826.0,1749.0,1826.0
92649,679100.0,896.5,2173.0,2057.0,1980.0,2070.0
93908,704800.0,896.5,728.0,736.0,713.0,725.666666667
96161,500600.0,896.285714286,1212.0,1160.0,1164.0,1178.66666667
93013,773600.0,895.2,350.0,338.0,348.0,345.333333333
92587,345300.0,895.0,88.0,89.0,89.0,88.6666666667
93401,615200.0,894.5,1192.0,1230.0,1155.0,1192.33333333
92109,718700.0,894.428571429,680.0,698.0,702.0,693.333333333
95066,703100.0,894.0,1200.0,1131.0,1090.0,1140.33333333
92845,532100.0,893.666666667,1871.0,1767.0,1695.0,1777.66666667
90732,552500.0,893.5,339.0,305.0,301.0,315.0
92591,377800.0,893.428571429,2619.0,2462.0,2440.0,2507.0
92672,765100.0,893.4,1591.0,1562.0,1563.0,1572.0
92024,803000.0,893.111111111,3325.0,3194.0,3196.0,3238.33333333
94619,533000.0,893.0,224.0,207.0,182.0,204.333333333
90505,812100.0,893.0,2056.0,2046.0,1960.0,2020.66666667
92656,511400.0,892.75,3932.0,3824.0,3761.0,3839.0
90034,847800.0,892.428571429,1069.0,1015.0,940.0,1008.0
91737,544700.0,892.4,1748.0,1698.0,1712.0,1719.33333333
93012,517700.0,892.333333333,2111.0,2160.0,2180.0,2150.33333333
91741,586600.0,892.333333333,2460.0,2446.0,2368.0,2424.66666667
93950,713000.0,892.0,931.0,967.0,1026.0,974.666666667
95020,595400.0,891.5,1720.0,1695.0,1688.0,1701.0
92870,568400.0,891.428571429,3327.0,3159.0,3028.0,3171.33333333
91701,470000.0,891.2,3126.0,3053.0,2889.0,3022.66666667
95658,520100.0,891.0,379.0,399.0,383.0,387.0
91201,645700.0,890.666666667,616.0,730.0,786.0,710.666666667
93625,204200.0,890.5,152.0,150.0,168.0,156.666666667
93004,479800.0,890.25,572.0,577.0,559.0,569.333333333
93460,755800.0,890.0,562.0,569.0,569.0,566.666666667
95010,655600.0,890.0,386.0,367.0,374.0,375.666666667
90232,913100.0,890.0,146.0,168.0,177.0,163.666666667
95119,720100.0,890.0,389.0,339.0,338.0,355.333333333
93657,173900.0,889.888888889,903.0,901.0,827.0,877.0
94566,919800.0,889.777777778,3860.0,3802.0,3628.0,3763.33333333
92126,461200.0,889.444444444,1126.0,1093.0,1038.0,1085.66666667
90016,431100.0,889.0,35.0,25.0,17.0,25.6666666667
92116,461600.0,889.0,20.0,25.0,24.0,23.0
91361,866800.0,889.0,591.0,611.0,587.0,596.333333333
91387,446100.0,888.75,907.0,841.0,895.0,881.0
92243,159400.0,888.125,491.0,465.0,439.0,465.0
94555,722200.0,888.0,216.0,208.0,203.0,209.0
