Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
90745,400900.0,621.4,917.0,829.0,794.0,846.666666667
90746,442000.0,629.375,270.0,269.0,267.0,268.666666667
90755,406800.0,711.333333333,170.0,176.0,177.0,174.333333333
90802,278200.0,617.75,188.0,193.0,219.0,200.0
90803,791800.0,742.6,216.0,233.0,243.0,230.666666667
90804,399100.0,593.4,376.0,441.0,455.0,424.0
90805,345800.0,580.25,818.0,831.0,891.0,846.666666667
90806,422800.0,631.0,179.0,187.0,183.0,183.0
90807,515000.0,704.5,261.0,282.0,301.0,281.333333333
90808,567700.0,632.625,577.0,611.0,638.0,608.666666667
90810,349300.0,591.0,621.0,700.0,721.0,680.666666667
90813,321000.0,616.0,581.0,596.0,601.0,592.666666667
90814,642700.0,726.5,50.0,51.0,61.0,54.0
90815,572700.0,688.25,774.0,822.0,841.0,812.333333333
91001,650900.0,636.285714286,249.0,306.0,315.0,290.0
91006,1031300.0,719.2,292.0,262.0,193.0,249.0
91007,1126100.0,744.0,334.0,336.0,223.0,297.666666667
91010,429800.0,649.714285714,395.0,364.0,368.0,375.666666667
91011,1435500.0,823.25,327.0,307.0,340.0,324.666666667
91016,560300.0,604.625,415.0,432.0,491.0,446.0
91024,828200.0,731.0,78.0,91.0,82.0,83.6666666667
91030,851900.0,749.0,309.0,266.0,314.0,296.333333333
91040,462100.0,680.333333333,257.0,276.0,292.0,275.0
91042,474400.0,621.5,260.0,244.0,220.0,241.333333333
91101,452600.0,634.0,48.0,71.0,69.0,62.6666666667
91103,581100.0,608.6,270.0,291.0,272.0,277.666666667
91104,648700.0,639.5,244.0,306.0,292.0,280.666666667
91105,1021400.0,665.0,35.0,37.0,17.0,29.6666666667
91106,554400.0,540.5,112.0,143.0,140.0,131.666666667
91107,764300.0,621.625,394.0,437.0,400.0,410.333333333
91108,2134200.0,803.0,228.0,238.0,200.0,222.0
91201,645700.0,684.0,107.0,84.0,98.0,96.3333333333
91202,655700.0,646.333333333,274.0,224.0,274.0,257.333333333
91203,411500.0,763.0,42.0,33.0,54.0,43.0
91204,424600.0,638.0,100.0,97.0,100.0,99.0
91205,508400.0,669.4,369.0,328.0,387.0,361.333333333
91206,657400.0,691.75,319.0,308.0,357.0,328.0
91208,817600.0,746.0,74.0,75.0,87.0,78.6666666667
91214,702100.0,765.25,501.0,452.0,582.0,511.666666667
91301,753500.0,749.166666667,558.0,519.0,525.0,534.0
91302,1308000.0,731.428571429,581.0,587.0,540.0,569.333333333
91303,394400.0,609.4,369.0,394.0,416.0,393.0
91304,528800.0,665.4,357.0,381.0,321.0,353.0
91306,448200.0,603.0,500.0,503.0,506.0,503.0
91307,572700.0,787.0,128.0,153.0,127.0,136.0
91311,532200.0,650.333333333,565.0,577.0,546.0,562.666666667
91316,534800.0,762.666666667,221.0,216.0,212.0,216.333333333
91320,614200.0,744.125,626.0,575.0,561.0,587.333333333
91321,407200.0,686.777777778,719.0,710.0,778.0,735.666666667
91324,508200.0,694.5,277.0,297.0,339.0,304.333333333
