Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
90502,371800.0,892.0,38.0,29.0,33.0,33.3333333333
93706,101700.0,892.0,14.0,12.0,12.0,12.6666666667
91335,422400.0,891.75,283.0,276.0,257.0,272.0
91311,532200.0,891.666666667,230.0,195.0,194.0,206.333333333
91202,655700.0,891.333333333,202.0,209.0,195.0,202.0
94513,452000.0,891.25,474.0,464.0,471.0,469.666666667
95139,672600.0,891.0,44.0,47.0,43.0,44.6666666667
94510,510400.0,891.0,258.0,249.0,250.0,252.333333333
90230,639800.0,891.0,64.0,63.0,54.0,60.3333333333
92126,461200.0,890.333333333,1520.0,1515.0,1504.0,1513.0
91754,546500.0,890.0,31.0,29.0,27.0,29.0
94598,826800.0,890.0,108.0,114.0,125.0,115.666666667
92064,606400.0,889.285714286,287.0,260.0,247.0,264.666666667
95219,307600.0,889.2,203.0,195.0,203.0,200.333333333
92262,312700.0,889.0,143.0,151.0,152.0,148.666666667
93306,159100.0,889.0,18.0,12.0,19.0,16.3333333333
90621,467200.0,888.8,136.0,136.0,142.0,138.0
91321,407200.0,888.25,162.0,170.0,175.0,169.0
92869,614000.0,888.0,71.0,76.0,80.0,75.6666666667
95130,980700.0,888.0,18.0,26.0,21.0,21.6666666667
91304,528800.0,887.333333333,99.0,100.0,105.0,101.333333333
91748,562900.0,887.0,316.0,337.0,332.0,328.333333333
93245,182200.0,886.285714286,257.0,254.0,230.0,247.0
91776,556900.0,886.0,80.0,74.0,71.0,75.0
93940,617500.0,886.0,50.0,40.0,36.0,42.0
92860,467800.0,885.5,27.0,32.0,32.0,30.3333333333
95121,610000.0,885.444444444,516.0,484.0,469.0,489.666666667
92649,679100.0,885.0,33.0,32.0,31.0,32.0
91803,548300.0,885.0,12.0,13.0,13.0,12.6666666667
92704,416700.0,885.0,16.0,17.0,12.0,15.0
91320,614200.0,885.0,53.0,43.0,49.0,48.3333333333
90024,986200.0,885.0,17.0,17.0,11.0,15.0
93555,151700.0,885.0,37.0,38.0,41.0,38.6666666667
94005,675800.0,885.0,17.0,21.0,16.0,18.0
92139,341000.0,885.0,1006.0,1002.0,964.0,990.666666667
94542,669000.0,885.0,23.0,21.0,25.0,23.0
92154,357500.0,884.615384615,671.0,621.0,554.0,615.333333333
92234,231100.0,884.2,195.0,186.0,180.0,187.0
91306,448200.0,884.0,51.0,52.0,42.0,48.3333333333
91101,452600.0,884.0,28.0,30.0,24.0,27.3333333333
93314,355600.0,883.0,41.0,39.0,45.0,41.6666666667
91950,317600.0,883.0,387.0,393.0,418.0,399.333333333
93552,216300.0,882.0,72.0,67.0,57.0,65.3333333333
92407,234600.0,882.0,16.0,13.0,16.0,15.0
95624,329700.0,881.307692308,611.0,614.0,610.0,611.666666667
95148,723200.0,880.9,751.0,694.0,648.0,697.666666667
94523,596100.0,880.5,176.0,190.0,211.0,192.333333333
90605,408100.0,880.0,21.0,24.0,23.0,22.6666666667
92392,190900.0,880.0,46.0,52.0,58.0,52.0
90706,401700.0,879.75,138.0,142.0,147.0,142.333333333
92585,280300.0,879.666666667,77.0,58.0,63.0,66.0
94536,693800.0,879.0,717.0,743.0,733.0,731.0
94089,748000.0,879.0,40.0,35.0,33.0,36.0
95124,896300.0,879.0,55.0,59.0,51.0,55.0
92630,597800.0,878.6,169.0,178.0,191.0,179.333333333
95829,301700.0,878.4,221.0,225.0,211.0,219.0
90670,403500.0,878.0,27.0,29.0,21.0,25.6666666667
92804,446500.0,877.866666667,511.0,470.0,444.0,475.0
92058,386200.0,877.333333333,63.0,54.0,58.0,58.3333333333
92337,302100.0,877.25,82.0,98.0,84.0,88.0
95632,254700.0,877.0,16.0,18.0,13.0,15.6666666667
95118,782000.0,876.75,109.0,104.0,117.0,110.0
91761,357500.0,876.666666667,84.0,69.0,73.0,75.3333333333
91766,326200.0,876.333333333,126.0,114.0,101.0,113.666666667
90247,390100.0,876.0,51.0,37.0,26.0,38.0
92646,682100.0,876.0,27.0,23.0,24.0,24.6666666667
95648,379300.0,875.333333333,81.0,80.0,84.0,81.6666666667
95670,235800.0,874.666666667,96.0,85.0,78.0,86.3333333333
95377,414600.0,874.6,396.0,374.0,362.0,377.333333333
92543,137100.0,874.0,21.0,20.0,19.0,20.0
91724,481800.0,874.0,77.0,68.0,63.0,69.3333333333
91764,302100.0,874.0,22.0,24.0,25.0,23.6666666667
92673,806300.0,874.0,17.0,19.0,13.0,16.3333333333
92806,501000.0,873.666666667,49.0,64.0,56.0,56.3333333333
92025,434900.0,873.333333333,77.0,78.0,68.0,74.3333333333
95691,295400.0,873.0,117.0,120.0,117.0,118.0
91502,445800.0,873.0,75.0,89.0,94.0,86.0
95758,293400.0,872.875,367.0,351.0,361.0,359.666666667
92805,418400.0,872.5,39.0,37.0,37.0,37.6666666667
94579,469700.0,872.25,186.0,194.0,192.0,190.666666667
91104,648700.0,872.0,23.0,20.0,18.0,20.3333333333
90723,321000.0,872.0,21.0,23.0,27.0,23.6666666667
94550,672600.0,871.333333333,153.0,154.0,162.0,156.333333333
90745,400900.0,871.2,1650.0,1688.0,1304.0,1547.33333333
91411,571600.0,871.0,180.0,181.0,198.0,186.333333333
