Zip,zindex,mr_avg_w,mr_num11,mr_num12,mr_num13,mr_num_avg
93454,275200.0,827.0,30.0,26.0,28.0,28.0
95620,333400.0,826.5,39.0,39.0,39.0,39.0
90277,918300.0,826.0,15.0,34.0,41.0,30.0
95073,657000.0,826.0,53.0,62.0,65.0,60.0
92277,93200.0,825.833333333,134.0,143.0,171.0,149.333333333
95008,890500.0,825.0,94.0,92.0,79.0,88.3333333333
92284,136300.0,824.666666667,75.0,75.0,73.0,74.3333333333
90016,431100.0,824.0,37.0,17.0,16.0,23.3333333333
92325,165100.0,824.0,14.0,15.0,20.0,16.3333333333
90713,484900.0,823.333333333,161.0,165.0,187.0,171.0
91106,554400.0,823.0,28.0,27.0,28.0,27.6666666667
94577,469000.0,821.25,75.0,77.0,95.0,82.3333333333
93033,352300.0,821.0,12.0,19.0,23.0,18.0
95376,314800.0,820.75,249.0,252.0,235.0,245.333333333
95693,527800.0,820.0,31.0,33.0,28.0,30.6666666667
95356,265900.0,819.0,43.0,62.0,66.0,57.0
95461,232100.0,819.0,12.0,12.0,13.0,12.3333333333
95818,445800.0,818.8,260.0,218.0,199.0,225.666666667
95018,473700.0,818.5,29.0,27.0,33.0,29.6666666667
93722,189900.0,818.5,43.0,38.0,39.0,40.0
92311,93000.0,818.0,26.0,30.0,26.0,27.3333333333
91978,414200.0,818.0,27.0,28.0,23.0,26.0
95453,217500.0,818.0,20.0,22.0,13.0,18.3333333333
91001,650900.0,817.5,46.0,44.0,41.0,43.6666666667
94066,732000.0,817.0,59.0,65.0,70.0,64.6666666667
94561,337400.0,815.5,180.0,201.0,216.0,199.0
92352,332000.0,814.666666667,71.0,69.0,87.0,75.6666666667
93036,405300.0,813.0,40.0,27.0,32.0,33.0
92021,382400.0,812.5,59.0,45.0,31.0,45.0
92081,466600.0,812.0,27.0,33.0,31.0,30.3333333333
95685,275600.0,812.0,46.0,39.0,37.0,40.6666666667
95827,224800.0,811.5,114.0,83.0,89.0,95.3333333333
95969,195000.0,811.166666667,151.0,158.0,167.0,158.666666667
92584,309800.0,811.0,23.0,55.0,83.0,53.6666666667
93436,254400.0,810.714285714,252.0,217.0,209.0,226.0
94525,377200.0,810.5,54.0,51.0,53.0,52.6666666667
95222,256700.0,810.0,14.0,16.0,16.0,15.3333333333
90260,430300.0,810.0,31.0,47.0,63.0,47.0
95687,322200.0,809.6,90.0,158.0,193.0,147.0
92399,303100.0,809.0,18.0,16.0,14.0,16.0
95337,324500.0,809.0,14.0,18.0,21.0,17.6666666667
90066,986400.0,809.0,35.0,30.0,47.0,37.3333333333
95835,305200.0,808.666666667,199.0,239.0,319.0,252.333333333
94591,323100.0,808.5,112.0,140.0,131.0,127.666666667
96019,150900.0,808.0,24.0,20.0,20.0,21.3333333333
95062,677900.0,808.0,16.0,20.0,19.0,18.3333333333
95993,242300.0,807.0,166.0,159.0,182.0,169.0
92583,184500.0,806.25,76.0,64.0,72.0,70.6666666667
93314,355600.0,806.0,25.0,22.0,23.0,23.3333333333
92040,408900.0,806.0,11.0,16.0,14.0,13.6666666667
95640,227400.0,806.0,15.0,15.0,13.0,14.3333333333
94503,419400.0,804.0,104.0,146.0,154.0,134.666666667
92503,292300.0,803.0,48.0,60.0,67.0,58.3333333333
92571,227300.0,802.0,11.0,14.0,18.0,14.3333333333
95320,252200.0,802.0,13.0,12.0,15.0,13.3333333333
95642,257600.0,801.0,18.0,22.0,20.0,20.0
95954,160600.0,798.0,25.0,27.0,26.0,26.0
93311,266000.0,798.0,45.0,69.0,67.0,60.3333333333
94533,262000.0,797.6,754.0,712.0,724.0,730.0
95354,164400.0,797.0,17.0,18.0,23.0,19.3333333333
92570,240500.0,797.0,26.0,25.0,12.0,21.0
95437,335900.0,796.0,55.0,57.0,54.0,55.3333333333
95126,673800.0,796.0,11.0,31.0,21.0,21.0
92028,487100.0,795.0,39.0,50.0,34.0,41.0
95667,279600.0,794.0,95.0,86.0,133.0,104.666666667
96097,132300.0,794.0,60.0,47.0,82.0,63.0
95945,285400.0,793.5,72.0,54.0,78.0,68.0
95338,224400.0,793.333333333,56.0,54.0,68.0,59.3333333333
92114,342000.0,793.142857143,136.0,181.0,190.0,169.0
95111,532700.0,793.0,11.0,15.0,14.0,13.3333333333
95519,264500.0,792.75,111.0,141.0,152.0,134.666666667
95632,254700.0,792.0,48.0,70.0,72.0,63.3333333333
92307,200400.0,791.5,85.0,86.0,89.0,86.6666666667
95128,743300.0,788.0,36.0,33.0,25.0,31.3333333333
94545,455700.0,788.0,20.0,27.0,18.0,21.6666666667
95834,311500.0,787.333333333,42.0,63.0,83.0,62.6666666667
93933,415600.0,786.75,114.0,129.0,145.0,129.333333333
95670,235800.0,786.0,29.0,36.0,35.0,33.3333333333
90706,401700.0,785.333333333,70.0,60.0,59.0,63.0
95521,276100.0,785.25,74.0,76.0,85.0,78.3333333333
95350,193400.0,784.8,113.0,132.0,150.0,131.666666667
92557,260600.0,784.0,11.0,19.0,16.0,15.3333333333
93514,335000.0,783.0,39.0,46.0,56.0,47.0
96002,209900.0,782.333333333,70.0,61.0,93.0,74.6666666667
96025,128900.0,782.0,11.0,12.0,12.0,11.6666666667
94544,443000.0,781.0,26.0,20.0,21.0,22.3333333333
90621,467200.0,780.0,23.0,20.0,11.0,18.0
