Zip,zindex,avg_w
92504,274700.0,802.333333333
92505,301400.0,784.4
92506,371000.0,735.6
92507,280600.0,752.285714286
92508,401300.0,874.0
92509,285500.0,766.736842105
92530,254000.0,781.909090909
92532,323300.0,863.2
92536,308800.0,884.0
92539,179800.0,735.5
92543,137100.0,713.833333333
92544,192300.0,766.125
92545,211600.0,768.833333333
92549,229500.0,892.0
92551,231400.0,777.222222222
92553,222100.0,714.833333333
92555,296400.0,780.571428571
92557,260600.0,781.090909091
92562,366100.0,830.6
92563,357400.0,864.384615385
92567,262800.0,796.333333333
92570,240500.0,744.583333333
92571,227300.0,774.7
92582,234000.0,670.0
92583,184500.0,758.875
92584,309800.0,848.625
92585,280300.0,787.8
92586,182700.0,842.5
92587,345300.0,829.0
92591,377800.0,871.0
92592,401200.0,863.647058824
92595,327000.0,836.833333333
92596,344700.0,842.666666667
92602,790000.0,928.25
92603,990900.0,959.75
92604,682000.0,927.125
92606,691400.0,834.75
92612,659300.0,922.666666667
92614,611100.0,915.8
92618,723800.0,926.0
92620,768300.0,940.625
92624,747800.0,858.0
92625,1566700.0,932.0
92626,641900.0,828.0
92627,665300.0,759.111111111
92629,776700.0,767.666666667
92630,597800.0,860.428571429
92646,682100.0,896.6
92647,611300.0,843.428571429
92648,797500.0,902.25
92649,679100.0,876.75
92651,1432600.0,917.75
92653,658300.0,864.5
92655,448100.0,856.0
92656,511400.0,889.714285714
92660,1380600.0,922.25
92663,1221300.0,859.0
92672,765100.0,850.8
92673,806300.0,882.166666667
92675,643900.0,793.875
92677,727400.0,881.625
92679,771500.0,923.333333333
92683,528200.0,827.411764706
92688,573500.0,907.0
92691,606600.0,836.4375
92692,634400.0,878.333333333
92694,732200.0,933.0
92701,372000.0,763.0
92703,387800.0,742.363636364
92704,416700.0,768.35
92705,792900.0,833.142857143
92706,494100.0,787.333333333
92707,380100.0,754.909090909
92708,666300.0,864.214285714
92780,574400.0,780.538461538
92782,642300.0,926.0
92801,424600.0,780.727272727
92802,447600.0,770.333333333
92804,446500.0,770.210526316
92805,418400.0,767.4
92806,501000.0,758.5
92807,627100.0,890.5
92808,648200.0,905.5
92821,576900.0,853.888888889
92831,534000.0,806.5
92832,431400.0,814.6
92833,471300.0,852.666666667
92835,663700.0,909.0
92840,447800.0,790.769230769
92841,464200.0,780.5
92843,439000.0,804.909090909
92844,435900.0,853.875
92845,532100.0,897.0
92860,467800.0,817.444444444
92861,1167100.0,888.0
92865,548700.0,780.666666667
92866,532300.0,795.5
92867,603300.0,724.4
92868,438600.0,786.0
92869,614000.0,832.666666667
92870,568400.0,830.647058824
92879,363300.0,775.125
92880,489900.0,849.714285714
92881,464300.0,830.0
92882,407800.0,802.357142857
92883,423200.0,886.0
92886,678300.0,896.3
92887,773900.0,920.5
93001,494700.0,780.571428571
93003,493400.0,798.714285714
93004,479800.0,834.25
93010,525600.0,747.0
93012,517700.0,876.0
93013,773600.0,780.0
93015,340300.0,701.666666667
93021,573700.0,827.909090909
93022,498000.0,756.0
93023,612300.0,816.25
93030,420200.0,722.909090909
93033,352300.0,722.888888889
93035,487600.0,797.5
93036,405300.0,734.363636364
93041,311800.0,738.5
93060,361100.0,824.0
93063,478800.0,851.7
93065,485800.0,815.894736842
93066,967300.0,820.5
93101,794600.0,732.5
93103,1029900.0,775.25
93105,1032000.0,789.0
93108,2710500.0,954.0
93109,1064000.0,814.333333333
93110,1025200.0,782.75
93111,832700.0,891.0
93117,754600.0,855.75
93202,121500.0,746.0
93203,124900.0,710.0
93204,102700.0,647.25
93210,136300.0,739.25
93212,103900.0,725.5
93215,147100.0,764.0
93219,116000.0,685.5
93223,114600.0,655.5
93230,160900.0,729.6875
93234,125400.0,686.0
93235,95400.0,696.0
93238,194600.0,825.0
93240,127900.0,762.333333333
93241,85800.0,707.5
93242,121700.0,731.0
93245,182200.0,786.7
93247,136200.0,637.2
93250,129100.0,666.8
93256,109900.0,687.0
93257,143500.0,748.37037037
93263,135600.0,689.285714286
93265,220400.0,817.0
93267,116300.0,726.333333333
93268,106300.0,719.375
93270,175700.0,707.5
93271,265300.0,834.0
93274,147600.0,759.791666667
93277,174600.0,788.916666667
93280,134500.0,716.777777778
93286,134200.0,724.25
93291,192700.0,723.875
93292,179400.0,731.8
93301,162500.0,681.142857143
93304,127200.0,729.642857143
93305,114600.0,708.714285714
93306,159100.0,756.0
93307,130000.0,727.476190476
93308,173800.0,751.25
93309,172800.0,760.0
93311,266000.0,826.727272727
93312,267200.0,846.9375
93313,206900.0,780.5
93314,355600.0,813.6
93401,615200.0,861.25
93402,420900.0,828.666666667
93405,598800.0,807.0
93420,573300.0,813.714285714
93422,425200.0,796.666666667
93426,388700.0,832.0
93427,491500.0,864.0
93428,619500.0,812.333333333
93430,746900.0,897.0
93433,381900.0,822.333333333
93434,205600.0,695.0
93436,254400.0,744.583333333
93442,510500.0,826.0
93444,473600.0,795.333333333
93445,338300.0,769.0
93446,386800.0,795.428571429
93449,694100.0,865.0
93451,296000.0,799.5
93453,459600.0,747.0
93454,275200.0,737.5
93455,353800.0,762.181818182
93458,253900.0,721.8
93460,755800.0,843.0
93463,664300.0,897.0
93465,555700.0,832.166666667
93501,75300.0,641.0
93505,85800.0,699.5
93510,486100.0,766.666666667
93513,181000.0,691.0
93514,335000.0,785.2
93527,174800.0,834.0
93534,153200.0,677.285714286
93535,172700.0,691.5
93536,259400.0,806.692307692
93543,180300.0,732.75
93550,180500.0,671.083333333
93551,302900.0,813.181818182
93552,216300.0,732.1
93553,219200.0,791.0
93555,151700.0,790.333333333
93560,159300.0,643.166666667
93561,212400.0,770.166666667
93601,279900.0,814.0
93602,243400.0,875.0
93609,138100.0,749.5
93610,154700.0,793.0
93611,259400.0,850.882352941
93612,166800.0,847.0
93614,225900.0,821.0
93618,152500.0,713.916666667
93619,373500.0,931.5
93622,126700.0,779.25
93625,204200.0,790.0
93630,173300.0,786.6
93631,223500.0,756.5
93636,266000.0,843.75
93637,176400.0,751.384615385
93638,138300.0,694.416666667
93640,117200.0,755.25
93643,227800.0,847.0
93644,211100.0,803.0
93646,116000.0,752.2
93647,128700.0,711.0
93648,123000.0,722.333333333
93650,107400.0,875.0
93654,170100.0,796.7
93656,131700.0,789.25
93657,173900.0,757.384615385
93660,118100.0,686.0
93662,156300.0,752.727272727
93667,238900.0,825.0
93701,94600.0,710.166666667
93702,88400.0,702.5
93703,120400.0,669.2
93704,193800.0,756.2
93705,133800.0,725.0
93706,101700.0,723.277777778
93710,200200.0,789.8
93711,291500.0,817.5
93720,278300.0,919.6
93722,189900.0,782.076923077
93723,272600.0,791.5
93725,133900.0,748.4
93726,148100.0,745.181818182
93727,188400.0,745.230769231
93728,130500.0,697.5
93730,377600.0,927.0
93901,398700.0,759.428571429
93905,275300.0,722.357142857
93906,321700.0,724.055555556
93907,385200.0,721.428571429
93908,704800.0,893.2
93923,1187100.0,913.0
93924,886700.0,932.0
93926,255300.0,645.5
93927,198000.0,685.333333333
93933,415600.0,761.6
93940,617500.0,804.75
93950,713000.0,887.75
93955,375500.0,719.125
93960,252200.0,775.625
94002,1210400.0,897.833333333
94005,675800.0,842.5
94010,2053900.0,928.363636364
94014,598200.0,747.0
94015,701000.0,830.666666667
94019,904400.0,825.4
94020,883000.0,779.0
94022,2764000.0,945.8
94024,2211500.0,970.6
94025,1641100.0,825.714285714
94027,4583700.0,877.25
94028,2986100.0,939.5
94030,1189600.0,893.0
94037,931200.0,805.0
94040,1508700.0,854.142857143
94041,1214900.0,846.0
94043,909200.0,865.4
94044,714100.0,844.857142857
94061,1051900.0,804.2
94062,1613400.0,824.285714286
94063,691300.0,724.8
94065,1090900.0,853.333333333
94066,732000.0,819.166666667
94070,1312500.0,887.0
94080,698500.0,796.25
94085,732900.0,765.0
94086,987800.0,823.0
94087,1385900.0,903.222222222
94089,748000.0,793.0
94102,783000.0,617.0
94103,886800.0,775.0
94107,1007000.0,638.5
94108,845500.0,838.0
94109,933300.0,816.333333333
94110,1110000.0,666.333333333
94112,736900.0,755.9
94114,1504000.0,765.857142857
94115,1285300.0,769.666666667
94116,930600.0,876.166666667
94117,1312000.0,771.0
94118,1618400.0,873.5
94121,1198300.0,872.6
94122,980300.0,852.333333333
94123,2103500.0,879.0
94124,610100.0,684.2
94127,1259100.0,785.4
94131,1235800.0,760.142857143
94132,854100.0,894.5
94133,1173000.0,854.8
94134,677100.0,735.428571429
94301,2720900.0,927.0
94303,1384300.0,811.777777778
94305,2307200.0,941.5
94306,1905500.0,940.25
94401,703600.0,812.75
94402,1392400.0,780.75
94403,960600.0,807.5
94404,1046800.0,924.5
94501,727800.0,836.769230769
94502,733400.0,947.0
94503,419400.0,802.0
94505,519100.0,865.5
94506,1147500.0,945.5
94507,1463200.0,887.25
94509,273500.0,709.133333333
94510,510400.0,838.571428571
94513,452000.0,798.9375
94515,569800.0,784.5
94517,678500.0,902.0
94518,521800.0,740.4
94519,414900.0,635.0
94520,339000.0,695.4
94521,499800.0,761.222222222
94523,596100.0,838.9
94525,377200.0,760.0
94526,990400.0,881.8
94530,675600.0,787.8
94531,360800.0,778.555555556
94533,262000.0,727.764705882
94534,426900.0,865.888888889
94536,693800.0,839.2
