Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average
91911,484.0,444.0,380.0,436.0
91913,1160.0,1092.0,1108.0,1120.0
91914,,,19.0,19.0
91941,122.0,123.0,122.0,122.333333333
91942,748.0,874.0,839.0,820.333333333
91945,577.0,565.0,585.0,575.666666667
91950,431.0,412.0,454.0,432.333333333
91962,19.0,6.0,,12.5
91977,474.0,469.0,481.0,474.666666667
91980,95.0,96.0,84.0,91.6666666667
92008,571.0,825.0,839.0,745.0
92009,372.0,431.0,496.0,433.0
92010,293.0,,,293.0
92011,42.0,60.0,89.0,63.6666666667
92014,12.0,42.0,162.0,72.0
92019,1151.0,1151.0,1147.0,1149.66666667
92020,564.0,559.0,561.0,561.333333333
92021,129.0,126.0,147.0,134.0
92024,1379.0,1395.0,1048.0,1274.0
92025,1052.0,947.0,805.0,934.666666667
92026,924.0,1106.0,723.0,917.666666667
92027,285.0,359.0,345.0,329.666666667
92028,418.0,356.0,521.0,431.666666667
92029,6.0,,6.0,6.0
92036,8.0,9.0,9.0,8.66666666667
92037,3046.0,3140.0,3405.0,3197.0
92040,380.0,329.0,188.0,299.0
92054,422.0,453.0,422.0,432.333333333
92056,133.0,119.0,84.0,112.0
92057,203.0,202.0,192.0,199.0
92058,66.0,64.0,68.0,66.0
92059,6.0,7.0,,6.5
92064,791.0,805.0,835.0,810.333333333
92065,131.0,107.0,129.0,122.333333333
92067,610.0,515.0,675.0,600.0
92069,42.0,,102.0,72.0
92071,11.0,10.0,7.0,9.33333333333
92075,1280.0,1255.0,1270.0,1268.33333333
92078,522.0,387.0,525.0,478.0
92081,24.0,24.0,,24.0
92082,54.0,37.0,51.0,47.3333333333
92083,1153.0,1079.0,1005.0,1079.0
92084,475.0,416.0,406.0,432.333333333
92086,,,6.0,6.0
92101,220.0,224.0,212.0,218.666666667
92102,213.0,253.0,213.0,226.333333333
92103,309.0,299.0,316.0,308.0
92104,1067.0,1095.0,1096.0,1086.0
92105,576.0,544.0,568.0,562.666666667
92106,302.0,321.0,325.0,316.0
92107,388.0,394.0,418.0,400.0
92108,433.0,455.0,452.0,446.666666667
92109,129.0,115.0,129.0,124.333333333
92110,712.0,751.0,764.0,742.333333333
92111,1660.0,1706.0,1683.0,1683.0
92113,179.0,26.0,40.0,81.6666666667
92114,205.0,211.0,195.0,203.666666667
92115,197.0,175.0,176.0,182.666666667
92116,976.0,1064.0,1002.0,1014.0
92117,997.0,975.0,894.0,955.333333333
92118,364.0,365.0,358.0,362.333333333
92119,68.0,65.0,48.0,60.3333333333
92120,454.0,475.0,462.0,463.666666667
92121,,7.0,44.0,25.5
92122,326.0,317.0,337.0,326.666666667
92123,1812.0,1844.0,1806.0,1820.66666667
92126,420.0,409.0,427.0,418.666666667
92127,540.0,16.0,601.0,385.666666667
92129,97.0,141.0,,119.0
92130,2731.0,2763.0,2776.0,2756.66666667
92131,448.0,518.0,572.0,512.666666667
92139,213.0,211.0,196.0,206.666666667
92154,502.0,525.0,463.0,496.666666667
92173,300.0,287.0,288.0,291.666666667
92201,199.0,222.0,233.0,218.0
92203,364.0,391.0,396.0,383.666666667
92211,515.0,647.0,574.0,578.666666667
92220,94.0,295.0,285.0,224.666666667
92223,110.0,98.0,129.0,112.333333333
92224,,,13.0,13.0
92225,7.0,12.0,57.0,25.3333333333
92227,161.0,134.0,135.0,143.333333333
92231,1070.0,1101.0,1076.0,1082.33333333
92240,16.0,,,16.0
92243,237.0,261.0,297.0,265.0
92251,76.0,59.0,65.0,66.6666666667
92252,75.0,59.0,49.0,61.0
92253,79.0,20.0,113.0,70.6666666667
92260,672.0,716.0,749.0,712.333333333
92262,276.0,256.0,226.0,252.666666667
92264,371.0,359.0,366.0,365.333333333
92270,373.0,,355.0,364.0
92277,16.0,16.0,27.0,19.6666666667
92281,60.0,31.0,30.0,40.3333333333
92284,363.0,339.0,318.0,340.0
92305,35.0,32.0,38.0,35.0
92307,90.0,81.0,88.0,86.3333333333
92308,187.0,73.0,83.0,114.333333333
92311,104.0,95.0,90.0,96.3333333333
92313,39.0,44.0,,41.5
92314,40.0,,,40.0
92315,17.0,10.0,53.0,26.6666666667
92316,794.0,741.0,600.0,711.666666667
92320,276.0,265.0,265.0,268.666666667
92324,,19.0,,19.0
92329,6.0,7.0,7.0,6.66666666667
92335,152.0,248.0,165.0,188.333333333
92336,350.0,421.0,391.0,387.333333333
92344,8.0,6.0,,7.0
92345,638.0,844.0,840.0,774.0
92346,199.0,164.0,177.0,180.0
92352,153.0,134.0,40.0,109.0
92354,1318.0,1318.0,1312.0,1316.0
92359,69.0,64.0,67.0,66.6666666667
92363,16.0,21.0,21.0,19.3333333333
92365,35.0,38.0,56.0,43.0
92371,,,6.0,6.0
92372,20.0,23.0,17.0,20.0
92373,1628.0,1634.0,1557.0,1606.33333333
92374,685.0,618.0,715.0,672.666666667
92376,279.0,342.0,358.0,326.333333333
92382,31.0,27.0,25.0,27.6666666667
92386,,31.0,,31.0
92391,36.0,18.0,115.0,56.3333333333
92392,71.0,77.0,136.0,94.6666666667
92394,42.0,41.0,51.0,44.6666666667
92395,411.0,352.0,370.0,377.666666667
92397,,10.0,7.0,8.5
92399,159.0,123.0,88.0,123.333333333
92401,,,22.0,22.0
92402,,6.0,19.0,12.5
92404,552.0,554.0,541.0,549.0
92405,132.0,270.0,259.0,220.333333333
92407,414.0,305.0,289.0,336.0
92408,53.0,68.0,104.0,75.0
92410,6.0,6.0,22.0,11.3333333333
92411,170.0,,,170.0
92501,239.0,294.0,339.0,290.666666667
92503,392.0,626.0,607.0,541.666666667
92504,1429.0,1283.0,1279.0,1330.33333333
92505,732.0,693.0,703.0,709.333333333
92506,1808.0,1768.0,1746.0,1774.0
92507,96.0,72.0,56.0,74.6666666667
92508,534.0,500.0,524.0,519.333333333
92509,47.0,51.0,26.0,41.3333333333
92530,,7.0,,7.0
92532,,,104.0,104.0
92539,23.0,22.0,21.0,22.0
92543,50.0,36.0,10.0,32.0
92544,680.0,640.0,651.0,657.0
92549,270.0,295.0,296.0,287.0
92551,38.0,28.0,24.0,30.0
92553,112.0,123.0,113.0,116.0
92555,432.0,415.0,383.0,410.0
92557,40.0,166.0,24.0,76.6666666667
92562,1518.0,1149.0,1190.0,1285.66666667
92563,39.0,38.0,32.0,36.3333333333
92567,58.0,26.0,29.0,37.6666666667
92570,299.0,292.0,328.0,306.333333333
92571,126.0,86.0,,106.0
92583,390.0,374.0,222.0,328.666666667
92584,320.0,268.0,276.0,288.0
92585,20.0,,35.0,27.5
92586,,12.0,12.0,12.0
92587,11.0,23.0,22.0,18.6666666667
92590,17.0,41.0,27.0,28.3333333333
92591,,,6.0,6.0
92592,2324.0,1914.0,2440.0,2226.0
92595,638.0,520.0,562.0,573.333333333
92596,8.0,11.0,,9.5
92602,16.0,15.0,15.0,15.3333333333
92603,616.0,617.0,608.0,613.666666667
92604,531.0,649.0,190.0,456.666666667
92606,,11.0,,11.0
92610,,,10.0,10.0
92612,75.0,110.0,85.0,90.0
92614,33.0,49.0,19.0,33.6666666667
92617,55.0,54.0,51.0,53.3333333333
92618,,,746.0,746.0
92620,318.0,340.0,201.0,286.333333333
92624,54.0,68.0,61.0,61.0
92625,406.0,406.0,406.0,406.0
92626,1403.0,1450.0,1499.0,1450.66666667
92627,868.0,545.0,861.0,758.0
92629,717.0,714.0,710.0,713.666666667
92630,557.0,625.0,667.0,616.333333333
92646,1480.0,2023.0,2067.0,1856.66666667
92647,1135.0,1179.0,1183.0,1165.66666667
92648,141.0,126.0,126.0,131.0
92649,326.0,293.0,284.0,301.0
92651,505.0,452.0,461.0,472.666666667
92653,177.0,155.0,90.0,140.666666667
92656,1045.0,1009.0,1145.0,1066.33333333
92657,428.0,444.0,466.0,446.0
92660,506.0,492.0,471.0,489.666666667
92663,445.0,433.0,439.0,439.0
92672,430.0,420.0,403.0,417.666666667
92673,60.0,49.0,64.0,57.6666666667
92675,3784.0,2807.0,3943.0,3511.33333333
92676,49.0,67.0,66.0,60.6666666667
92677,1402.0,1326.0,1270.0,1332.66666667
92679,130.0,,,130.0
92683,448.0,435.0,414.0,432.333333333
92688,3754.0,3649.0,3512.0,3638.33333333
92691,603.0,610.0,735.0,649.333333333
92692,502.0,418.0,217.0,379.0
92694,317.0,320.0,311.0,316.0
