Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
91710,408200.0,918.833333333,167.0,163.0,144.0,158.0
91711,597300.0,843.5,51.0,46.0,35.0,44.0
91722,401500.0,870.0,103.0,92.0,84.0,93.0
91723,436100.0,856.5,152.0,137.0,119.0,136.0
91724,481800.0,874.0,77.0,68.0,63.0,69.3333333333
91730,364200.0,932.8,133.0,130.0,124.0,129.0
91732,414100.0,856.0,14.0,16.0,21.0,17.0
91737,544700.0,910.0,84.0,88.0,91.0,87.6666666667
91739,547600.0,951.375,405.0,425.0,429.0,419.666666667
91740,447100.0,948.0,11.0,16.0,13.0,13.3333333333
91741,586600.0,937.0,79.0,82.0,83.0,81.3333333333
91744,371600.0,855.333333333,289.0,309.0,279.0,292.333333333
91745,578900.0,898.5,54.0,44.0,45.0,47.6666666667
91748,562900.0,887.0,316.0,337.0,332.0,328.333333333
91750,540200.0,912.0,15.0,15.0,12.0,14.0
91752,405200.0,900.0,20.0,16.0,22.0,19.3333333333
91754,546500.0,890.0,31.0,29.0,27.0,29.0
91761,357500.0,876.666666667,84.0,69.0,73.0,75.3333333333
91764,302100.0,874.0,22.0,24.0,25.0,23.6666666667
91765,624600.0,915.285714286,252.0,232.0,231.0,238.333333333
91766,326200.0,876.333333333,126.0,114.0,101.0,113.666666667
91768,319900.0,912.0,30.0,27.0,32.0,29.6666666667
91773,518300.0,922.333333333,75.0,81.0,83.0,79.6666666667
91776,556900.0,886.0,80.0,74.0,71.0,75.0
91780,654900.0,911.0,20.0,23.0,24.0,22.3333333333
91784,586900.0,953.0,19.0,20.0,18.0,19.0
91786,402400.0,898.5,76.0,58.0,63.0,65.6666666667
91789,699700.0,918.777777778,813.0,786.0,730.0,776.333333333
91790,446000.0,913.714285714,154.0,169.0,183.0,168.666666667
91791,517900.0,914.75,176.0,161.0,150.0,162.333333333
91792,435700.0,870.5,115.0,98.0,75.0,96.0
91801,539300.0,863.666666667,82.0,78.0,74.0,78.0
91803,548300.0,885.0,12.0,13.0,13.0,12.6666666667
91902,529400.0,904.0,59.0,44.0,51.0,51.3333333333
91910,400100.0,915.181818182,744.0,726.0,679.0,716.333333333
91911,372300.0,902.777777778,231.0,233.0,207.0,223.666666667
91913,457300.0,928.8,1700.0,1751.0,1788.0,1746.33333333
91914,609900.0,938.5,570.0,558.0,548.0,558.666666667
91915,453700.0,910.0,558.0,565.0,567.0,563.333333333
