Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg,,zindex rank,avg_w rank,,,,
91214,702100,850.5,773,753,785,770.3333333,,891,1029.5,,,,
91301,753500,855.8333333,327,353,364,348,,932,1043,,,,
91302,1308000,837.2857143,332,332,367,343.6666667,,1081,978,,,,
91303,394400,709.1666667,2371,2361,2412,2381.333333,,491,129.5,,,,
91304,528800,788.6,1375,1303,1306,1328,,721,759,,,,
91306,448200,769.7142857,2697,2773,2666,2712,,608,593,,,,
91307,572700,862.25,321,307,277,301.6666667,,765.5,1061,,,,
91311,532200,747.1428571,2349,2322,2211,2294,,724,398,,,,
91316,534800,840,287,302,301,296.6666667,,730,990,,,,
91320,614200,757.6666667,1106,1083,1067,1085.333333,,808,500,,,,
91321,407200,808.6666667,3269,3444,3535,3416,,523,868,,,,
91324,508200,829.25,1396,1418,1484,1432.666667,,696,946,,,,
91325,586700,811.5,2896,2856,2894,2882,,782,882,,,,
91326,676100,872.6666667,244,241,291,258.6666667,,867,1078,,,,
91331,357500,750.6666667,9228,9001,8835,9021.333333,,430,436,,,,
91335,422400,768.7894737,6183,5854,5795,5944,,556,588,,,,
91340,345700,737.7,7159,6853,6408,6806.666667,,416,317,,,,
91342,404800,772.6470588,8578,7989,7375,7980.666667,,515,623,,,,
91343,456200,754.7857143,6682,6542,6681,6635,,618,466,,,,
91344,523800,802.9230769,6785,6538,6459,6594,,716,840,,,,
91345,419000,778,357,353,372,360.6666667,,549,671.5,,,,
91350,456400,794.4444444,1285,1318,1343,1315.333333,,619,800,,,,
91351,399000,775.6666667,3097,3176,3224,3165.666667,,499,652,,,,
91352,396600,710.2727273,6959,6538,6382,6626.333333,,494,135,,,,
91354,496900,865.2,788,872,856,838.6666667,,683,1069,,,,
91355,464500,827.5555556,1153,1129,1295,1192.333333,,629,937,,,,
91356,834400,817.25,835,858,820,837.6666667,,981,904,,,,
91360,602000,791.7777778,1072,1214,1268,1184.666667,,793,778,,,,
91361,866800,881,67,61,61,63,,993,1093,,,,
91362,719600,811,1013,1045,1046,1034.666667,,904,880.5,,,,
91364,766500,783.5714286,947,851,874,890.6666667,,940,717,,,,
91367,625800,789,2009,1961,2003,1991,,815,760,,,,
91377,692300,905,147,166,203,172,,883.5,1118,,,,
91384,468800,766.4,799,932,936,889,,636,566.5,,,,
91387,446100,805,744,739,648,710.3333333,,600,851,,,,
91390,548800,755,55,50,51,52,,749,470,,,,
91401,629700,685.1428571,2409,2280,2241,2310,,819,49,,,,
91402,356400,723.7,5196,4878,4629,4901,,426,216,,,,
91403,842500,845,167,173,164,168,,982,1006.5,,,,
91405,431500,712.3333333,3322,3249,3051,3207.333333,,577,144,,,,
91406,453400,757.3846154,5118,5050,5174,5114,,613,497,,,,
91411,571600,683,3063,2998,3007,3022.666667,,764,44,,,,
91423,821000,828,869,887,863,873,,974,941,,,,
91436,1336400,883.5,92,99,83,91.33333333,,1086,1095,,,,
91501,650500,857,157,172,148,159,,835,1046.5,,,,
91502,445800,781,540,525,492,519,,597.5,695,,,,
91504,646700,831,593,581,558,577.3333333,,831,953.5,,,,
91505,615100,831.8,1100,1115,1140,1118.333333,,809,956,,,,
91506,640600,743.5,2010,1958,2084,2017.333333,,824,370,,,,
91601,512400,723.8333333,3038,2913,2767,2906,,703,217,,,,
91602,680600,729.3333333,959,894,871,908,,873,264,,,,
91604,1017400,858,53,46,47,48.66666667,,1032,1049,,,,
91605,423200,761.875,3125,3156,3132,3137.666667,,558.5,527,,,,
91606,452000,793.4,2962,2794,2481,2745.666667,,610.5,789.5,,,,
91607,702200,879,243,245,256,248,,892,1091,,,,
91701,470000,845.9,3139,3255,3386,3260,,642,1011,,,,
91702,366600,748.5714286,5569,5299,5181,5349.666667,,443,417,,,,
91706,361100,761.4,10124,9826,9589,9846.333333,,436.5,524,,,,
91708,423500,888,272,290,269,277,,561,1101,,,,
91709,584100,846.2142857,3851,3886,3976,3904.333333,,779,1013,,,,
91710,408200,766.4,7531,7430,7379,7446.666667,,526,566.5,,,,
91711,597300,817.2727273,1902,1947,1964,1937.666667,,788,905,,,,
91722,401500,748.2222222,3841,3769,3603,3737.666667,,507,412,,,,
91723,436100,781.3333333,3602,3630,3532,3588,,585,698,,,,
91724,481800,793.4,2127,2116,2064,2102.333333,,658,789.5,,,,
91730,364200,811.8181818,2955,2926,2886,2922.333333,,441,883,,,,
91731,402300,755.8333333,3007,2957,2991,2985,,509,480,,,,
91732,414100,727.4444444,8764,8688,8549,8667,,536,249,,,,
91733,395300,765,3751,3705,3612,3689.333333,,492,553.5,,,,
91737,544700,845.6,1334,1372,1432,1379.333333,,738,1010,,,,
91739,547600,868.2222222,3258,3421,3498,3392.333333,,744,1073,,,,
91740,447100,795,722,750,759,743.6666667,,602,803.5,,,,
91741,586600,847.3333333,1634,1743,1809,1728.666667,,781,1015,,,,
91744,371600,772.32,10665,10428,10082,10391.66667,,451,620,,,,
91745,578900,813.4,4866,4872,4900,4879.333333,,774,890.5,,,,
91746,374500,696,3118,2914,2917,2983,,458,77,,,,
91748,562900,766,1939,1977,1925,1947,,756,562,,,,
91750,540200,877.3333333,1004,995,1046,1015,,736,1086.5,,,,
91752,405200,759.25,2283,2290,2238,2270.333333,,518.5,508,,,,
91754,546500,755.4285714,1569,1610,1639,1606,,743,475,,,,
91755,545500,767,980,957,954,963.6666667,,740,570,,,,
91761,357500,783.1818182,4996,5006,5001,5001,,430,715,,,,
91762,325400,757,8530,8362,8388,8426.666667,,380,492,,,,
91763,332800,748.3636364,5846,5847,5940,5877.666667,,392.5,413,,,,
91764,302100,741.0909091,4185,4340,4401,4308.666667,,338.5,349,,,,
