id2,name,zindex,latitude3,longitude4
33935,Selma,156100,36.529445,-119.642469
6916,San Carlos,1310300,37.498401,-122.270318
46178,Lawndale,406900,33.887711,-118.356475
20172,Ridgecrest,152300,35.553253,-117.676493
6043,Morgan Hill,737700,37.129042,-121.639951
37206,Atascadero,425100,35.453409,-120.716803
19716,Oakdale,258000,37.78846,-120.746021
33874,Saratoga,2083700,37.252638,-122.055558
25974,Moorpark,573400,34.308793,-118.87893
50849,Banning,186700,33.908393,-116.811463
33836,San Dimas,521500,34.111986,-117.814438
49259,Dinuba,154000,36.52026,-119.400601
17235,Burlingame,1581600,37.586025,-122.367406
57132,Wildomar,327400,33.619805,-117.256935
39511,Los Altos,2224100,37.36719,-122.100708
14111,Temple City,655300,34.10305,-118.050872
40979,South Lake Tahoe,339900,38.879683,-120.021305
16684,Adelanto,,34.660985,-117.520962
47550,San Lorenzo,447300,37.681641,-122.135054
34636,Walnut,727800,34.033248,-117.860125
47677,Shingle Springs,367300,38.618751,-120.970689
25458,Laguna Hills,651800,33.595323,-117.709512
7518,Ukiah,285600,39.112538,-123.274625
26310,Orangevale,292000,38.685067,-121.225223
19434,Monterey,634100,36.471419,-121.828534
115107,Florin,180700,38.489612,-121.409021
19230,Marysville,163600,39.217478,-121.483786
29737,Norco,467800,33.929213,-117.563926
19379,Mill Valley,1272800,37.874585,-122.553772
23523,Arroyo Grande,580900,35.176433,-120.440536
30908,Claremont,599100,34.15787,-117.70539
5265,Imperial Beach,382600,32.56307,-117.116538
4931,Goleta,747700,34.5022,-120.121737
17686,Dana Point,781800,33.477342,-117.7053
11228,East Palo Alto,531900,37.467988,-122.135742
27011,Seaside,376100,36.639849,-121.785982
24216,Corcoran,103900,36.033401,-119.553773
46887,Olivehurst,169300,39.026131,-121.544955
36412,Wasco,135100,35.646653,-119.451404
33910,Sebastopol,651700,38.397684,-122.86506
42967,Stanton,399000,33.794746,-117.997268
10343,Belmont,1210300,37.570174,-122.33381
15381,Isla Vista,,34.414436,-119.8592
36288,Windsor,481800,38.536501,-122.814245
57317,Winchester,345300,33.634083,-117.064866
47144,Placerville,280400,38.748963,-120.805207
32753,Maywood,372300,33.988339,-118.187228
27183,South Pasadena,851200,34.112119,-118.156236
25547,Lemon Grove,347600,32.732712,-117.038768
24831,Galt,255100,38.278177,-121.232749
40516,Red Bluff,146100,40.144323,-122.261645
23504,Aptos,726600,37.008371,-121.876816
47547,San Fernando,345300,34.28574,-118.439354
20550,Sonora,216800,37.966284,-120.356
51858,El Cerrito,676300,37.918025,-122.302444
52835,Ladera Ranch,751600,33.551388,-117.644108
35927,Patterson,251000,37.483684,-121.249669
39308,La Verne,542300,34.124884,-117.774528
54352,Seal Beach,804100,33.757516,-118.078528
40242,Paradise,195000,39.741266,-121.665551
396236,Vineyard,298800,38.467121,-121.334765
117041,Oildale,119000,35.428409,-119.031165
47889,Suisun City,285300,38.155691,-121.941655
117769,Rosemont,232600,38.547545,-121.359891
17442,Chowchilla,155700,37.087528,-120.229612
28063,Yucca Valley,135200,34.15167,-116.425029
40955,Soledad,253000,36.416977,-121.35765
5994,Mira Loma,381400,33.99004,-117.528303
44131,Benicia,509000,38.114786,-122.12819
31134,Cudahy,338100,33.962621,-118.185571
53327,Millbrae,1189700,37.601057,-122.402393
25455,Lafayette,1229000,37.898186,-122.128292
40081,North Tustin,938700,33.763513,-117.795562
12423,Loma Linda,357600,34.047444,-117.248723
9840,Agoura Hills,769600,34.129969,-118.769701
3719,Blythe,121100,33.746772,-114.71296
17788,Dixon,334500,38.379364,-121.78693
4148,Coalinga,135400,36.173379,-120.440076
28136,Bloomington,235200,34.059512,-117.40093
41951,Brawley,145300,32.965136,-115.383345
17587,Coronado,1423000,32.650442,-117.171759
118878,West Carson,397700,33.822055,-118.292277
7662,Valley Center,496100,33.258609,-117.008075
7332,Susanville,118500,40.546936,-120.672576
36502,South El Monte,387500,34.048931,-118.048531
52842,Laguna Beach,1377900,33.548417,-117.774752
53027,Lomita,571100,33.79131,-118.317965
30025,Marina,415800,36.678727,-121.781069
46080,La Canada Flintridge,1432900,34.231384,-118.148805
40633,Rosamond,159200,34.912181,-118.373774
50774,Arvin,124900,35.080066,-118.787684
11677,Granite Bay,646000,38.751688,-121.170725
13091,Ojai,617600,34.556469,-119.114462
7026,Shafter,135700,35.492732,-119.296399
24435,Duarte,439600,34.157856,-117.957623
51863,El Sobrante,427600,37.955814,-122.269111
37073,Albany,716700,37.882825,-122.32788
9020,Nipomo,453600,35.050901,-120.517085
16760,American Canyon,418100,38.202296,-122.238024
29712,Hermosa Beach,1263600,33.864996,-118.396929
10157,Arcata,276000,40.845532,-124.050449
396551,La Crescenta-Montrose,731500,34.228709,-118.235181
46314,Los Alamitos,797400,33.797197,-118.061785
47198,Port Hueneme,312100,34.133809,-119.14187
6485,Phelan,219600,34.461268,-117.546868
10991,Crescent City,,41.663848,-123.961974
41673,Westlake Village,866000,34.143506,-118.89374
118994,Willowbrook,289800,33.91571,-118.255601
48047,Truckee,495000,39.283997,-120.2489
43102,Taft,106200,35.183128,-119.362059
19033,Lindsay,137500,36.210079,-119.07879
36363,Thermal,,33.454839,-116.000046
30105,Kerman,172100,36.70087,-120.139184
55753,El Segundo,815900,33.916583,-118.401146
31854,Greenfield,198500,36.251748,-121.364384
25411,Kingsburg,221900,36.488396,-119.515482
30145,Alamo,1453800,37.852329,-121.977578
38965,Hercules,457700,38.002639,-122.255091
35591,Lathrop,288700,37.809883,-121.32186
30267,Artesia,444800,33.866644,-118.080345
12654,McKinleyville,264700,40.953822,-124.020605
4632,Exeter,180100,36.289168,-119.03109
118217,South San Jose Hills,344400,34.014947,-117.905007
396556,West Whittier-Los Nietos,382500,33.977679,-118.070019
46098,Laguna Woods,279300,33.608397,-117.727865
18098,Fillmore,339400,34.414151,-118.864755
40493,Rancho Mirage,478100,33.761256,-116.433039
47544,San Anselmo,1020500,37.999045,-122.583525
41317,Twentynine Palms,86400,34.241733,-115.896855
10128,Anderson,174000,40.45149,-122.288767
25078,Healdsburg,587300,38.536443,-122.809745
3980,Carpinteria,777800,34.428323,-119.515207
30526,Bonita,523000,32.664641,-117.027704
115282,Glen Avon,287800,34.015446,-117.473653
13716,Santa Fe Springs,405300,33.926546,-118.063802
118895,West Puente Valley,371900,34.049861,-117.970047
6343,Orland,,39.703425,-122.405407
37688,Calabasas,1053800,34.136214,-118.662693
33300,Pacific Grove,716300,36.613793,-121.921264
118694,Valinda,387000,34.038453,-117.931897
8935,Parlier,123300,36.624427,-119.519452
53655,Oak Park,693200,34.192957,-118.753434
17597,Coto de Caza,861000,33.600388,-117.58858
15237,La Palma,627200,33.850921,-118.043375
113441,Alum Rock,503800,37.367819,-121.827161
36958,Pinole,405500,37.992602,-122.276312
21778,Hawaiian Gardens,327900,33.830604,-118.072137
272578,Commerce,332400,33.995079,-118.157362
54158,Riverbank,212800,37.729923,-120.943421
25652,Los Osos,421500,35.2986,-120.826899
39704,Mc Farland,128700,35.652774,-119.169302
26767,Rio Linda,,38.691756,-121.470724
9355,Winton,128000,37.413965,-120.591218
11745,Grover Beach,383200,35.118874,-120.621662
10734,Castaic,468600,34.535457,-118.684982
12520,Malibu,2424100,34.072266,-118.818419
27244,Stanford,2290500,37.410265,-122.172101
28774,Half Moon Bay,907400,37.42177,-122.411626
23717,Bishop,344600,37.506054,-118.311377
8572,Hughson,264200,37.591966,-120.848908
42569,Orinda,1270300,37.886782,-122.196235
15294,Escalon,252800,37.833386,-121.033442
5693,Loomis,478000,38.806693,-121.16412
54345,Scotts Valley,697200,37.077864,-122.002114
43867,Alpine,485900,32.823903,-116.694542
19059,Livingston,,37.340177,-120.756805
41854,Carmel,1203700,36.435336,-121.823072
55438,Delhi,,37.425909,-120.779813
49205,Lamont,85800,35.258767,-118.912005
50453,Orosi,128700,36.575496,-119.189483
117263,Pedley,303000,33.983164,-117.47698
44406,California City,86300,35.150286,-117.921653
3963,Canyon Lake,390200,33.692303,-117.259323
10665,Calimesa,260200,33.97915,-117.060885
45510,Grand Terrace,296000,34.032301,-117.314346
115235,Garden Acres,,37.965437,-121.22602
22081,Firebaugh,126700,36.726137,-120.590297
27960,Willits,230300,39.513973,-123.368538
18173,Fortuna,244100,40.578091,-124.12519
32942,Moraga,1108600,37.83422,-122.099697
6495,Piedmont,1714900,37.822547,-122.229737
53568,Newman,,37.281307,-121.215467
20544,Solana Beach,1081700,32.99773,-117.259132
47695,Sierra Madre,827700,34.168113,-118.048836
396550,View Park-Windsor Hills,598200,33.995646,-118.348558
54299,San Marino,2137600,34.121282,-118.114443
52061,Fort Bragg,336000,39.466284,-123.667266
46697,Nevada City,367200,39.364451,-120.872288
29189,Littlerock,180800,34.498029,-117.958897
55743,Hillsborough,3630500,37.555193,-122.361176
30459,Big Bear City,195400,34.255404,-116.915272
113576,Avocado Heights,424000,34.040627,-118.001261
29842,Mecca,114700,33.519807,-115.958165
44769,Cotati,440000,38.31793,-122.709533
44661,Coarsegold,227800,37.174849,-119.720671
10951,Corning,132400,39.915623,-122.27256
3493,Avenal,102500,35.925341,-120.092446
27103,Signal Hill,406600,33.804328,-118.167184
116032,La Riviera,236500,38.569039,-121.358006
7666,Valley Springs,245900,38.160942,-120.846421
34285,Tiburon,2115800,37.881676,-122.463116
396542,North Fair Oaks,655600,37.475225,-122.203274
12035,Imperial,194700,32.86426,-115.686038
4582,Emeryville,389800,37.838627,-122.295815
14803,Cottonwood,187600,40.332346,-122.463553
28324,Cloverdale,400800,38.806857,-122.929352
52871,Lakeport,219100,39.047834,-122.931199
47583,Sausalito,1094500,37.868051,-122.546364
396561,Muscoy,,34.155023,-117.361166
36355,Woodlake,135000,36.467884,-119.066576
27057,Shasta Lake,150400,40.679888,-122.374155
40009,Newport Coast,1100500,33.597535,-117.826257
5427,King City,,36.188523,-120.989326
10848,Clayton,673400,37.891226,-121.892508
34907,Woodside,3551100,37.407077,-122.295612
13114,Orange Cove,116100,36.65942,-119.294717
36036,Ripon,339400,37.748417,-121.137261
53162,Marina del Rey,,33.976658,-118.44587
35723,Joshua Tree,100200,34.142096,-115.390324
39879,Morro Bay,510500,35.399273,-120.778377
22622,Willows,,39.501916,-122.277016
24969,Gridley,,39.361462,-121.757239
118875,West Athens,341800,33.923692,-118.304644
28431,Kelseyville,205500,38.926721,-122.815119
51733,Dos Palos,,37.061045,-120.630601
33311,Palos Verdes Estates,1753700,33.783302,-118.390121
10961,Corte Madera,1071100,37.924976,-122.512626
114822,East Foothills,712300,37.381463,-121.816863
25710,Magalia,161200,39.882412,-121.598987
7981,Winters,310200,38.567193,-121.98912
17128,Boulder Creek,416200,37.175115,-122.160445
7777,Waterford,178600,37.679239,-120.640462
9208,Salida,242000,37.718978,-121.089842
6814,Rodeo,380300,38.026802,-122.240293
30748,Capitola,657500,36.975749,-121.951321
9403,Thousand Palms,157700,33.6679,-115.576362
18609,Holtville,143500,32.822301,-115.220307
17542,Colusa,,39.219064,-122.043164
113412,Alondra Park,497100,33.889456,-118.335155
33679,Riverdale,131800,36.422881,-119.957196
32578,Los Altos Hills,3534500,37.36779,-122.137173
19207,Mariposa,223000,37.521864,-119.999139
29059,Penn Valley,320700,39.225877,-121.216188
24660,Fairfax,740600,37.98699,-122.611185
53646,Nuevo,263800,33.830168,-117.116151
30696,Calipatria,,33.191985,-115.50435
9058,Mentone,246100,34.059074,-117.107166
38491,Farmersville,114200,36.308599,-119.206757
56780,Topanga,1169700,34.090157,-118.609074
30280,Atherton,4593600,37.450229,-122.20037
47510,Saint Helena,965500,38.547529,-122.405379
3929,Calistoga,568900,38.621196,-122.612863
28219,Denair,258300,37.542622,-120.679757
25246,Indian Wells,676900,33.692789,-116.351517
34030,Solvang,664000,34.625658,-120.143783
5721,Lucerne Valley,116200,34.511777,-116.858716
31233,Discovery Bay,532700,37.864764,-121.587848
31888,Guadalupe,205000,34.935646,-120.607616
4793,Fowler,205600,36.62402,-119.671677
31994,Heber,148000,32.724748,-115.47173
26260,Oceano,338500,35.04477,-120.615683
35858,Mammoth Lakes,,37.574141,-118.842158
38070,Crestline,186900,34.248636,-117.286556
5315,Jamestown,192100,37.872994,-120.481539
9553,Mendota,117200,36.674948,-120.418844
52752,Kentfield,1806600,37.94602,-122.544587
396021,Country Club,152700,37.969337,-121.341273
40964,Soquel,657600,37.026422,-121.94748
117764,Rosedale,394800,35.393945,-119.198851
29320,Strathmore,116400,36.138217,-119.091908
35659,Gustine,,37.159187,-121.039697
13355,Pollock Pines,217300,38.760966,-120.497482
10850,Clearlake,102600,38.971666,-122.660156
25512,Larkspur,1325800,37.936936,-122.526225
41200,Templeton,537700,35.553603,-120.738367
39082,Huron,125500,36.201374,-120.076156
10725,Caruthers,137400,36.528702,-119.881304
29536,Sloughhouse,423800,38.505819,-121.134353
116042,Ladera Heights,937800,33.996097,-118.374099
55294,Yreka,134200,41.758906,-122.690015
49139,Elverta,,38.740295,-121.465372
28512,Hilmar,239300,37.393737,-120.899271
33846,San Martin,854600,37.102946,-121.599837
34252,Terra Bella,181800,35.926284,-119.021075
118227,South Yuba City,211700,39.112751,-121.641391
11535,Freedom,,36.934618,-121.781866
26659,Quincy,,39.94271,-120.986633
3893,Burbank,622800,37.321541,-121.930866
113561,August,,37.977629,-121.262612
23986,Castroville,,36.781268,-121.737699
39222,Kensington,784200,37.907574,-122.273579
29900,Cutler,,36.497829,-119.290192
52124,French Camp,,37.874506,-121.291047
54970,Villa Park,1176400,33.817169,-117.809852
399318,Travis AFB,,38.262566,-121.933623
39843,Montecito,2931400,34.436924,-119.626267
114828,East La Mirada,477900,33.924511,-117.990764
43361,Redwood Valley,367200,39.321281,-123.236706
56896,Rescue,519400,38.724531,-120.987007
33847,San Miguel,293800,35.905691,-120.557417
18875,La Habra Heights,1038700,33.961052,-117.955537
32910,Mojave,78400,35.056714,-118.237982
12410,Live Oak,163000,39.265054,-121.774482
26968,Santa Ynez,755800,34.658141,-119.999242
