Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
91204,424600,743.5,192,216,190,199.3333333,,526,52,,,,
91205,508400,845,1636,1648,1618,1634,,656,502,,,,
91206,657400,796.8,1711,1675,1687,1691,,802,209,,,,
91208,817600,913,601,607,608,605.3333333,,926,919,,,,
91214,702100,878.2727273,3865,3763,3670,3766,,846,710,,,,
91301,753500,898.6666667,2787,2855,2793,2811.666667,,886,832,,,,
91302,1308000,905.8571429,3799,3623,3488,3636.666667,,1034,879,,,,
91303,394400,839,109,101,104,104.6666667,,460,456.5,,,,
91304,528800,860.6,914,791,717,807.3333333,,679,606,,,,
91306,448200,814.3333333,103,99,95,99,,569,296,,,,
91307,572700,920.25,661,530,522,571,,721.5,948,,,,
91311,532200,871.8333333,1152,1062,1065,1093,,682,670,,,,
91316,534800,905.3333333,263,284,316,287.6666667,,688,874,,,,
91320,614200,875,3617,3598,3497,3570.666667,,763,693.5,,,,
91321,407200,904.4444444,2413,2309,2183,2301.666667,,486.5,870,,,,
91324,508200,899.3333333,976,948,934,952.6666667,,655,835,,,,
91325,586700,880.125,1136,994,938,1022.666667,,738,728,,,,
91326,676100,929.6666667,659,498,457,538,,822,990.5,,,,
91331,357500,841.5,130,108,93,110.3333333,,401,473,,,,
91335,422400,856.1666667,1551,1503,1457,1503.666667,,518,577,,,,
91342,404800,747,95,73,68,78.66666667,,479,59,,,,
91343,456200,876.5714286,461,458,447,455.3333333,,578,703,,,,
91344,523800,866.3333333,2488,2298,2231,2339,,674,642,,,,
91345,419000,938,44,37,41,40.66666667,,511,1018.5,,,,
91350,456400,854.4444444,3060,2980,2794,2944.666667,,579,568,,,,
91351,399000,856.6666667,2342,2137,2001,2160,,465,579,,,,
91352,396600,771,166,153,142,153.6666667,,462,104.5,,,,
91354,496900,907.4,2065,2005,2068,2046,,642,894,,,,
91355,464500,885.5,2976,2976,2933,2961.666667,,589,759.5,,,,
91356,834400,900,1573,1492,1439,1501.333333,,934,842,,,,
91360,602000,882.7272727,3203,3087,2911,3067,,749,744,,,,
91361,866800,889,591,611,587,596.3333333,,946,782,,,,
91362,719600,914.8571429,3231,3166,3126,3174.333333,,859,922,,,,
91364,766500,878,1729,1666,1724,1706.333333,,894,708.5,,,,
91367,625800,862.5,3075,2928,2875,2959.333333,,770,616,,,,
91377,692300,863.2857143,2404,2472,2553,2476.333333,,838.5,624,,,,
91384,468800,874.5,1152,1117,1071,1113.333333,,596,688,,,,
91387,446100,888.75,907,841,895,881,,561,780,,,,
91390,548800,867,100,78,57,78.33333333,,706,647,,,,
91401,629700,829.4,806,831,941,859.3333333,,774,396,,,,
91402,356400,782.5,42,38,41,40.33333333,,397,142,,,,
91403,842500,903,453,429,450,444,,935,859.5,,,,
91405,431500,725.6666667,80,102,92,91.33333333,,538,34,,,,
91406,453400,831.1818182,791,800,805,798.6666667,,573,405,,,,
91411,571600,873.3333333,556,511,505,524,,720,678,,,,
91423,821000,904.3333333,1358,1429,1455,1414,,927,868,,,,
91436,1336400,945.5,573,573,586,577.3333333,,1039,1042,,,,
91501,650500,875,593,622,576,597,,790,693.5,,,,
91502,445800,828,1080,1112,1068,1086.666667,,558.5,388.5,,,,
91504,646700,867,1186,1167,1195,1182.666667,,786,647,,,,
91505,615100,901,991,1023,992,1002,,764,850,,,,
91506,640600,849.8,1605,1515,1544,1554.666667,,779,530,,,,
91601,512400,838.6,479,446,431,452,,661,452,,,,
91602,680600,839.3333333,597,629,575,600.3333333,,828,459.5,,,,
91604,1017400,946,439,430,472,447,,985,1045,,,,
91605,423200,821.2,568,562,540,556.6666667,,520.5,339,,,,
91606,452000,782,390,339,330,353,,570.5,139,,,,
91607,702200,905.5,288,291,300,293,,847,875,,,,
91701,470000,891.2,3126,3053,2889,3022.666667,,602,797,,,,
91702,366600,787.6666667,177,163,159,166.3333333,,414,168,,,,
91706,361100,752.75,80,89,82,83.66666667,,407.5,65,,,,
91708,423500,918,163,179,187,176.3333333,,523,940.5,,,,
91709,584100,899.5714286,3233,3091,2919,3081,,735,836,,,,
91710,408200,833,1901,1705,1573,1726.333333,,490,420.5,,,,
91711,597300,887.2222222,2207,2139,1891,2079,,744,773,,,,
91722,401500,800.4285714,360,309,272,313.6666667,,473,229,,,,
91723,436100,826,795,716,651,720.6666667,,546,373,,,,
91724,481800,841,922,877,814,871,,617,470,,,,
91730,364200,857.5454545,1318,1274,1201,1264.333333,,412,584,,,,
91731,402300,752,24,18,11,17.66666667,,475,63,,,,
91732,414100,828,115,92,80,95.66666667,,498,388.5,,,,
91737,544700,892.4,1748,1698,1712,1719.333333,,696,803,,,,
91739,547600,913.1111111,2073,2096,2079,2082.666667,,702,920,,,,
91740,447100,905.25,451,448,434,444.3333333,,563,873,,,,
91741,586600,892.3333333,2460,2446,2368,2424.666667,,737,801.5,,,,
91744,371600,779,110,106,94,103.3333333,,421,129,,,,
91745,578900,863.4545455,499,440,422,453.6666667,,730,626,,,,
91746,374500,783,13,13,12,12.66666667,,427,145.5,,,,
91748,562900,861.6666667,224,220,194,212.6666667,,713,613,,,,
91750,540200,920,886,893,863,880.6666667,,694,946,,,,
91752,405200,812.5,393,401,369,387.6666667,,481.5,276.5,,,,
91754,546500,885.6666667,99,77,66,80.66666667,,701,762,,,,
91755,545500,813,27,24,20,23.66666667,,698,283.5,,,,
91761,357500,841.5555556,653,604,581,612.6666667,,401,474,,,,
91762,325400,819.8888889,612,556,480,549.3333333,,356,329,,,,
91763,332800,821.25,330,307,317,318,,365.5,340,,,,
91764,302100,765.7142857,199,217,209,208.3333333,,322.5,86,,,,
91765,624600,885.1818182,1040,972,879,963.6666667,,768,757,,,,
91766,326200,826.5,283,261,291,278.3333333,,357,379,,,,
91767,331600,735,67,73,73,71,,363,43,,,,
91768,319900,888,47,47,46,46.66666667,,345,776,,,,
91770,490600,798.5,87,89,76,84,,634,220,,,,
91773,518300,900,1823,1756,1740,1773,,670,842,,,,
91775,753000,904,158,155,151,154.6666667,,885,864.5,,,,
91776,556900,807.5,302,261,283,282,,711,251,,,,
91780,654900,857.8333333,494,451,443,462.6666667,,797,585,,,,
91784,586900,923.6666667,1010,1004,983,999,,739,970,,,,
91786,402400,845.7,1663,1607,1496,1588.666667,,476,505,,,,
91789,699700,880.1,653,641,567,620.3333333,,843,727,,,,
91790,446000,873.5555556,296,277,270,281,,560,679,,,,
91791,517900,899.1428571,373,331,293,332.3333333,,669,833,,,,
91792,435700,770,26,21,14,20.33333333,,542,99.5,,,,
91801,539300,844.8,207,168,123,166,,692,500,,,,
91803,548300,843,87,56,52,65,,704,487,,,,
91901,487200,869.6,1116,1033,994,1047.666667,,630,663,,,,
91902,529400,905,128,122,118,122.6666667,,680,871.5,,,,
91910,400100,882.2142857,1255,1177,1041,1157.666667,,467,741,,,,
91911,372300,852.9411765,607,578,543,576,,425,555,,,,
91913,457300,905.6,1246,1181,1168,1198.333333,,580,876,,,,
91914,609900,923.25,671,681,716,689.3333333,,756,965,,,,
91915,453700,887,610,677,726,671,,574,770.5,,,,
91916,354200,880,79,64,81,74.66666667,,395,726,,,,
91932,382600,818,523,496,479,499.3333333,,446,316,,,,
91935,602900,851.5,488,424,397,436.3333333,,750,543,,,,
91941,514100,862.6,1795,1770,1662,1742.333333,,664,618,,,,
91942,414000,901.75,1007,922,933,954,,497,854,,,,
91945,348000,860.2,197,204,262,221,,388,603.5,,,,
91950,317600,815,48,49,31,42.66666667,,342,301.5,,,,
91962,305100,726,131,20,123,91.33333333,,328,35,,,,
91977,359000,815.5833333,1031,986,791,936,,404,305,,,,
91978,414200,812,1089,1086,928,1034.333333,,499,271,,,,
