Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg
92120,506600.0,799.75,294.0,267.0,252.0,271.0
92585,280300.0,799.333333333,229.0,218.0,208.0,218.333333333
90803,791800.0,799.0,197.0,196.0,176.0,189.666666667
92234,231100.0,799.0,130.0,130.0,121.0,127.0
91730,364200.0,798.6,557.0,587.0,562.0,568.666666667
95367,233600.0,798.0,14.0,18.0,14.0,15.3333333333
92253,386400.0,798.0,93.0,101.0,107.0,100.333333333
91911,372300.0,797.857142857,210.0,179.0,143.0,177.333333333
91710,408200.0,797.833333333,184.0,157.0,176.0,172.333333333
90717,570100.0,797.333333333,405.0,368.0,339.0,370.666666667
95692,227300.0,797.0,35.0,33.0,39.0,35.6666666667
94708,997000.0,797.0,79.0,81.0,86.0,82.0
95616,578700.0,796.6,98.0,102.0,84.0,94.6666666667
92562,366100.0,796.333333333,417.0,432.0,445.0,431.333333333
91101,452600.0,796.0,172.0,168.0,150.0,163.333333333
93454,275200.0,796.0,14.0,15.0,14.0,14.3333333333
92116,461600.0,795.8,151.0,160.0,133.0,148.0
90025,751100.0,795.75,368.0,359.0,395.0,374.0
91711,597300.0,795.333333333,307.0,277.0,269.0,284.333333333
91205,508400.0,795.0,35.0,34.0,31.0,33.3333333333
90620,455700.0,794.5,132.0,116.0,122.0,123.333333333
92647,611300.0,794.0,35.0,36.0,37.0,36.0
92371,214900.0,794.0,77.0,81.0,104.0,87.3333333333
90670,403500.0,794.0,46.0,37.0,31.0,38.0
93314,355600.0,794.0,49.0,35.0,38.0,40.6666666667
94534,426900.0,793.25,590.0,832.0,805.0,742.333333333
92656,511400.0,793.0,85.0,76.0,68.0,76.3333333333
91351,399000.0,793.0,280.0,283.0,296.0,286.333333333
93312,267200.0,792.875,197.0,193.0,187.0,192.333333333
92223,259100.0,792.555555556,365.0,371.0,355.0,363.666666667
90604,443500.0,792.5,29.0,31.0,34.0,31.3333333333
92602,790000.0,792.333333333,73.0,75.0,72.0,73.3333333333
94588,789400.0,792.333333333,75.0,88.0,81.0,81.3333333333
92084,447300.0,792.0,112.0,110.0,96.0,106.0
92354,358900.0,792.0,50.0,29.0,40.0,39.6666666667
95661,379100.0,792.0,57.0,61.0,56.0,58.0
95112,570500.0,791.0,17.0,13.0,12.0,14.0
92860,467800.0,790.75,123.0,132.0,116.0,123.666666667
92123,466800.0,790.5,243.0,233.0,230.0,235.333333333
92058,386200.0,790.5,315.0,295.0,290.0,300.0
95125,955100.0,790.285714286,181.0,211.0,203.0,198.333333333
90807,515000.0,790.0,753.0,761.0,750.0,754.666666667
91942,414000.0,790.0,95.0,85.0,87.0,89.0
94598,826800.0,789.5,35.0,42.0,48.0,41.6666666667
92614,611100.0,789.333333333,58.0,72.0,63.0,64.3333333333
92124,545000.0,789.142857143,436.0,373.0,331.0,380.0
94583,778700.0,789.0,104.0,91.0,107.0,100.666666667
91360,602000.0,788.0,32.0,25.0,25.0,27.3333333333
91502,445800.0,788.0,41.0,43.0,49.0,44.3333333333
90045,815900.0,787.625,1888.0,1794.0,1687.0,1789.66666667
95391,487100.0,787.333333333,133.0,134.0,142.0,136.333333333
90240,485500.0,787.0,28.0,22.0,19.0,23.0
92107,766900.0,787.0,57.0,44.0,33.0,44.6666666667
92596,344700.0,787.0,82.0,89.0,93.0,88.0
91506,640600.0,786.666666667,104.0,81.0,101.0,95.3333333333
94546,581500.0,786.625,311.0,318.0,333.0,320.666666667
92122,589500.0,786.5,124.0,109.0,88.0,107.0
95050,762900.0,786.5,50.0,46.0,51.0,49.0
92804,446500.0,786.083333333,366.0,336.0,321.0,341.0
92629,776700.0,786.0,12.0,15.0,13.0,13.3333333333
92128,526900.0,785.666666667,128.0,115.0,126.0,123.0
95382,277100.0,785.666666667,70.0,68.0,83.0,73.6666666667
92373,419100.0,785.6,153.0,175.0,167.0,165.0
95337,324500.0,784.5,75.0,61.0,60.0,65.3333333333
95136,707200.0,784.4,163.0,159.0,166.0,162.666666667
