Zip,zindex,avg_w,num11,num12,num13,num_avg
92630,597800.0,856.5,6061.0,6207.0,6127.0,6131.66666667
95446,338300.0,856.0,226.0,212.0,196.0,211.333333333
95329,193700.0,856.0,121.0,111.0,111.0,114.333333333
92655,448100.0,856.0,1204.0,1194.0,1163.0,1187.0
91902,529400.0,856.0,644.0,636.0,645.0,641.666666667
92064,606400.0,855.545454545,6900.0,6796.0,6923.0,6873.0
90815,572700.0,855.25,7654.0,7694.0,7388.0,7578.66666667
90620,455700.0,854.625,3290.0,3265.0,3319.0,3291.33333333
90249,415200.0,854.0,829.0,883.0,863.0,858.333333333
92821,576900.0,853.888888889,4413.0,4402.0,4392.0,4402.33333333
92844,435900.0,853.875,4104.0,4314.0,4303.0,4240.33333333
90277,918300.0,853.833333333,3533.0,3647.0,3729.0,3636.33333333
92024,803000.0,853.2,4761.0,4638.0,4703.0,4700.66666667
96027,170100.0,853.0,270.0,275.0,272.0,272.333333333
95942,277100.0,853.0,56.0,66.0,69.0,63.6666666667
92833,471300.0,852.666666667,6455.0,6369.0,6422.0,6415.33333333
95132,746900.0,852.0,6372.0,6381.0,6353.0,6368.66666667
90703,634800.0,851.833333333,9799.0,9931.0,9994.0,9908.0
90504,579000.0,851.75,4395.0,4359.0,4220.0,4324.66666667
95949,335100.0,851.0,2039.0,1904.0,1756.0,1899.66666667
91901,487200.0,850.8,1519.0,1440.0,1365.0,1441.33333333
92672,765100.0,850.8,2644.0,2567.0,2594.0,2601.66666667
93460,755800.0,850.666666667,1021.0,1035.0,1063.0,1039.66666667
90232,913100.0,850.5,629.0,686.0,701.0,672.0
90808,567700.0,850.125,5105.0,4889.0,5032.0,5008.66666667
92211,325000.0,850.0,488.0,543.0,562.0,531.0
91321,407200.0,850.0,6609.0,6658.0,6629.0,6632.0
92071,396000.0,849.727272727,6529.0,6507.0,6461.0,6499.0
92880,489900.0,849.714285714,8240.0,7850.0,7935.0,8008.33333333
94954,500000.0,849.666666667,1840.0,1836.0,1831.0,1835.66666667
95223,244700.0,849.0,133.0,121.0,98.0,117.333333333
92359,224900.0,849.0,291.0,268.0,269.0,276.0
90638,466100.0,848.9,5147.0,5142.0,5192.0,5160.33333333
95121,610000.0,848.7,5547.0,5342.0,5191.0,5360.0
95010,655600.0,848.0,649.0,634.0,664.0,649.0
90041,652000.0,847.888888889,4798.0,4395.0,4467.0,4553.33333333
91790,446000.0,847.6,4302.0,4454.0,4643.0,4466.33333333
93117,754600.0,847.3,4196.0,4124.0,4105.0,4141.66666667
92584,309800.0,847.111111111,6614.0,6828.0,6752.0,6731.33333333
93643,227800.0,847.0,118.0,110.0,181.0,136.333333333
95247,324200.0,847.0,158.0,139.0,129.0,142.0
93612,166800.0,847.0,2895.0,2976.0,3062.0,2977.66666667
93312,267200.0,846.9375,9677.0,9821.0,10087.0,9861.66666667
92008,718500.0,846.545454545,5703.0,5718.0,5723.0,5714.66666667
92124,545000.0,846.25,4657.0,4430.0,4302.0,4463.0
95119,720100.0,846.0,1522.0,1478.0,1453.0,1484.33333333
93611,259400.0,845.947368421,12670.0,12768.0,12807.0,12748.3333333
95662,330800.0,845.454545455,4981.0,5018.0,4941.0,4980.0
94044,714100.0,844.857142857,3121.0,3161.0,3163.0,3148.33333333
94703,729400.0,844.75,1762.0,1883.0,1860.0,1835.0
90039,705900.0,844.2,1235.0,1224.0,1163.0,1207.33333333
93636,266000.0,843.75,1318.0,1369.0,1342.0,1343.0
95757,378600.0,843.7,8758.0,9031.0,9184.0,8991.0
91320,614200.0,843.555555556,5578.0,5562.0,5485.0,5541.66666667
92647,611300.0,843.428571429,6508.0,6534.0,6640.0,6560.66666667
92586,182700.0,842.5,1320.0,1327.0,1209.0,1285.33333333
94005,675800.0,842.5,327.0,325.0,300.0,317.333333333
91325,586700.0,842.125,4951.0,4877.0,4879.0,4902.33333333
95355,246900.0,841.8125,9807.0,9693.0,9742.0,9747.33333333
95148,723200.0,841.636363636,7583.0,7498.0,7563.0,7548.0
92110,503000.0,841.0,985.0,936.0,938.0,953.0
96114,178500.0,841.0,291.0,265.0,268.0,274.666666667
92270,482600.0,841.0,319.0,301.0,287.0,302.333333333
90240,485500.0,841.0,2843.0,2739.0,2744.0,2775.33333333
95436,390500.0,841.0,338.0,289.0,272.0,299.666666667
91711,597300.0,840.818181818,5328.0,5236.0,5157.0,5240.33333333
94945,692300.0,840.666666667,1172.0,1154.0,1180.0,1168.66666667
95035,729500.0,840.538461538,7306.0,7342.0,7354.0,7334.0
91748,562900.0,839.285714286,4624.0,4552.0,4449.0,4541.66666667
94536,693800.0,839.2,8205.0,8344.0,8447.0,8332.0
94523,596100.0,838.9,5110.0,5160.0,5103.0,5124.33333333
96161,500600.0,838.875,1879.0,1810.0,1889.0,1859.33333333
94550,672600.0,838.666666667,6251.0,6151.0,5967.0,6123.0
94510,510400.0,838.571428571,3710.0,3671.0,3635.0,3672.0
95379,164600.0,838.333333333,758.0,701.0,718.0,725.666666667
91040,462100.0,838.333333333,1789.0,1772.0,1749.0,1770.0
95366,339300.0,838.166666667,2241.0,2312.0,2237.0,2263.33333333
91745,578900.0,838.133333333,7336.0,7214.0,7229.0,7259.66666667
94108,845500.0,838.0,426.0,420.0,419.0,421.666666667
90807,515000.0,837.75,2957.0,3050.0,3015.0,3007.33333333
94551,563900.0,837.5,2629.0,2662.0,2681.0,2657.33333333
90701,443400.0,837.25,1769.0,1741.0,1799.0,1769.66666667
91755,545500.0,837.0,1608.0,1607.0,1553.0,1589.33333333
92104,478800.0,837.0,811.0,786.0,841.0,812.666666667
93063,478800.0,836.909090909,6661.0,6593.0,6355.0,6536.33333333
92691,606600.0,836.4375,10584.0,10219.0,10057.0,10286.6666667
90025,751100.0,836.4,2708.0,2524.0,2698.0,2643.33333333
91803,548300.0,835.25,2114.0,2128.0,2084.0,2108.66666667
95377,414600.0,834.8,3761.0,3896.0,3932.0,3863.0
92606,691400.0,834.75,1357.0,1346.0,1359.0,1354.0
95829,301700.0,834.6,4283.0,4380.0,4299.0,4320.66666667
93004,479800.0,834.25,1270.0,1265.0,1244.0,1259.66666667
93527,174800.0,834.0,130.0,113.0,108.0,117.0
93271,265300.0,834.0,110.0,98.0,98.0,102.0
95073,657000.0,833.75,1370.0,1411.0,1431.0,1404.0
91791,517900.0,833.666666667,4572.0,4482.0,4313.0,4455.66666667
95006,413700.0,833.5,1371.0,1551.0,1650.0,1524.0
94501,727800.0,833.4375,6522.0,6621.0,6636.0,6593.0
95758,293400.0,833.25,5903.0,5897.0,5929.0,5909.66666667
94546,581500.0,833.181818182,5144.0,5167.0,5272.0,5194.33333333
92705,792900.0,833.142857143,8580.0,8651.0,8709.0,8646.66666667
92256,112600.0,833.0,162.0,145.0,133.0,146.666666667
91770,490600.0,832.428571429,7159.0,6927.0,6811.0,6965.66666667
94947,625300.0,832.375,2810.0,2997.0,3015.0,2940.66666667
92595,327000.0,832.285714286,3515.0,4305.0,4187.0,4002.33333333
92869,614000.0,832.2,5407.0,5378.0,5372.0,5385.66666667
95503,230600.0,832.181818182,1819.0,1849.0,1864.0,1844.0
93465,555700.0,832.166666667,1664.0,1594.0,1701.0,1653.0
93426,388700.0,832.0,52.0,49.0,55.0,52.0
91367,625800.0,831.166666667,6534.0,6346.0,6363.0,6414.33333333
91730,364200.0,831.0,5460.0,5425.0,5256.0,5380.33333333
91205,508400.0,831.0,3535.0,3551.0,3563.0,3549.66666667
96055,133300.0,831.0,528.0,542.0,562.0,544.0
94015,701000.0,830.666666667,4472.0,4576.0,4576.0,4541.33333333
91202,655700.0,830.666666667,3102.0,3099.0,2988.0,3063.0
92870,568400.0,830.647058824,9296.0,9164.0,9261.0,9240.33333333
92562,366100.0,830.6,8972.0,9105.0,9023.0,9033.33333333
95054,816100.0,830.333333333,1139.0,1165.0,1181.0,1161.66666667
95372,206100.0,830.0,382.0,352.0,348.0,360.666666667
95008,890500.0,830.0,3079.0,3144.0,3057.0,3093.33333333
92881,464300.0,830.0,7718.0,7853.0,7942.0,7837.66666667
95570,353200.0,830.0,158.0,167.0,170.0,165.0
