Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg,,zindex rank,avg_w rank,,,,
91401,629700,761,140,116,109,121.6666667,,561,415,,,,
91402,356400,647,66,49,43,52.66666667,,256,41,,,,
91403,842500,834,91,78,81,83.33333333,,691,692.5,,,,
91405,431500,723.3333333,70,81,70,73.66666667,,375,248,,,,
91406,453400,763.4285714,333,313,298,314.6666667,,405,426,,,,
91411,571600,782.3333333,185,184,184,184.3333333,,514,499,,,,
91423,821000,831.6666667,292,291,271,284.6666667,,685,685,,,,
91436,1336400,846,21,17,20,19.33333333,,769,728,,,,
91501,650500,846,14,16,20,16.66666667,,576,728,,,,
91502,445800,788,41,43,49,44.33333333,,392.5,529.5,,,,
91504,646700,837,21,17,31,23,,572,704.5,,,,
91505,615100,819.5,32,40,45,39,,553,653.5,,,,
91506,640600,786.6666667,104,81,101,95.33333333,,566,522,,,,
91601,512400,757.6,185,154,154,164.3333333,,469,388,,,,
91602,680600,825.5,168,166,178,170.6666667,,607,667,,,,
91604,1017400,882,27,19,24,23.33333333,,730,787.5,,,,
91605,423200,717,41,39,44,41.33333333,,358.5,220.5,,,,
91606,452000,718,39,38,31,36,,402.5,225.5,,,,
91607,702200,877,56,49,55,53.33333333,,623,783.5,,,,
91701,470000,814.9,728,697,681,702,,430,641,,,,
91708,423500,858,36,38,41,38.33333333,,360,757.5,,,,
91709,584100,851.3,457,431,392,426.6666667,,528,741,,,,
91710,408200,797.8333333,184,157,176,172.3333333,,331,572,,,,
91711,597300,795.3333333,307,277,269,284.3333333,,535,561,,,,
91722,401500,743.6666667,110,105,88,101,,314,326,,,,
91723,436100,775.6666667,225,174,167,188.6666667,,382,473,,,,
91724,481800,746,101,99,98,99.33333333,,438,346.5,,,,
91730,364200,798.6,557,587,562,568.6666667,,267,576,,,,
91737,544700,823.4,468,449,401,439.3333333,,497,665,,,,
91739,547600,857.1111111,975,971,988,978,,500,755,,,,
91741,586600,802,46,55,54,51.66666667,,529,591,,,,
91744,371600,695,37,26,31,31.33333333,,272,140,,,,
91745,578900,758.5,36,30,35,33.66666667,,523,399,,,,
91748,562900,762,33,30,24,29,,508,418.5,,,,
91750,540200,835,62,65,59,62,,495,698,,,,
91752,405200,763,75,82,84,80.33333333,,323.5,424,,,,
91761,357500,782,452,410,360,407.3333333,,260,498,,,,
91762,325400,714.6666667,238,218,214,223.3333333,,229,217,,,,
91763,332800,776.8,140,146,129,138.3333333,,236.5,477,,,,
91764,302100,745,192,198,183,191,,195.5,341.5,,,,
91765,624600,822,298,276,288,287.3333333,,556,660,,,,
91766,326200,731.1428571,319,317,312,316,,230,279,,,,
91767,331600,668.9090909,419,371,357,382.3333333,,235,76,,,,
91768,319900,721.8,114,116,103,111,,216,240,,,,
91773,518300,802.25,122,121,114,119,,477,593,,,,
