Zip,zindex,avg_w,zindex rank,avg_w rank,,,,,,
94063,691300,852,314,282.5,,,,,,
94070,1312500,920.1666667,363,349,,,,,,
94112,736900,673.5,323,42,,,,,,
94114,1504000,790,368,178,,,,,,
94115,1285300,814,362,217.5,,,,,,
94122,980300,672,350,41,,,,,,
94124,610100,732.5,291,91,,,,,,
94303,1384300,814.5,367,219,,,,,,
94501,727800,819,320,225.5,,,,,,
94509,273500,801.5,95,198,,,,,,
94521,499800,795,251,190,,,,,,
94531,360800,656,157,28,,,,,,
94538,644400,791,302,179.5,,,,,,
94545,455700,826.5,222,239,,,,,,
94546,581500,816,281,220,,,,,,
94558,494300,821.6666667,246,233,,,,,,
94560,581900,775,282,155.5,,,,,,
94580,447900,865,218,299,,,,,,
94589,236000,751.5,79,123,,,,,,
94591,323100,800,134,196,,,,,,
94598,826800,915,336,344,,,,,,
94601,320000,764.75,129,139,,,,,,
94603,255500,781.3333333,85.5,169,,,,,,
94605,401400,714.1428571,181,72,,,,,,
94607,409500,936.3333333,192,361,,,,,,
94608,477100,830.3333333,234,249,,,,,,
94610,867900,699,344,56,,,,,,
94612,442700,727,215,80,,,,,,
94619,533000,930.3333333,270,357,,,,,,
94621,231600,712,74,65.5,,,,,,
94703,729400,799,322,195,,,,,,
94801,236800,786,81,174,,,,,,
94804,299900,798,112,193.5,,,,,,
94806,293400,745.5,109,112,,,,,,
94928,414300,750,199,119.5,,,,,,
94949,769200,939,331,363.5,,,,,,
94952,629400,854.6666667,297,291,,,,,,
94954,500000,829.6666667,252,248,,,,,,
94965,1087800,844,358,265,,,,,,
95003,728300,625,321,18,,,,,,
95006,413700,798,196,193.5,,,,,,
95008,890500,859.75,345,296,,,,,,
95018,473700,765,230.5,140.5,,,,,,
95030,2063400,913,369,343,,,,,,
95037,779500,899,333,335.5,,,,,,
95060,757300,926,328,354,,,,,,
95062,677900,822,312,234,,,,,,
95070,2073100,952,370,369,,,,,,
95076,421400,744.8333333,204,111,,,,,,
95110,517500,824.5,263,236.5,,,,,,
95111,532700,870,269,310,,,,,,
95116,483700,792.5,238,184,,,,,,
95117,845300,856,340,294,,,,,,
95122,499500,771.3333333,250,149,,,,,,
95124,896300,878.75,346,322,,,,,,
95125,955100,829.5,349,247,,,,,,
95126,673800,728,310,82,,,,,,
95127,548200,704,273,61,,,,,,
95128,743300,808.5,324,210,,,,,,
95130,980700,941,351,365,,,,,,
95133,609700,893,290,334,,,,,,
95148,723200,812,319,211.5,,,,,,
95205,106800,650.5,2,26,,,,,,
95206,174900,668.8,35,37,,,,,,
95210,162500,892,24.5,333,,,,,,
95212,275800,909.5,97,340.5,,,,,,
95240,219500,689,65,48.5,,,,,,
95249,177700,730,37,86,,,,,,
95304,481900,742.5,236,109,,,,,,
