Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg,,zindex rank,avg_w rank,,,,
91764,302100,893,27,26,19,24,,182.5,346.5,,,,
91765,624600,953.9090909,3496,3470,3385,3450.333333,,548,693,,,,
91766,326200,822.25,378,357,345,360,,210,101,,,,
91767,331600,783,21,20,15,18.66666667,,215,48,,,,
91768,319900,915,20,27,32,26.33333333,,198,470.5,,,,
91770,490600,904.1428571,3668,3556,3506,3576.666667,,436,406,,,,
91773,518300,950,180,179,191,183.3333333,,463,672.5,,,,
91775,753000,947.75,621,667,691,659.6666667,,658,659,,,,
91776,556900,886.1666667,2831,2961,2867,2886.333333,,496,312,,,,
91780,654900,936.8333333,2448,2488,2529,2488.333333,,575,592,,,,
91784,586900,974.6666667,158,147,133,146,,520,793,,,,
91786,402400,906.125,268,285,272,275,,296,419,,,,
91789,699700,959.5,3824,3785,3690,3766.333333,,619,721.5,,,,
91790,446000,941.2,416,430,438,428,,371,618,,,,
91791,517900,958.2857143,433,437,394,421.3333333,,462,712,,,,
91792,435700,923,35,30,20,28.33333333,,355,520.5,,,,
91801,539300,915.2857143,3391,3412,3227,3343.333333,,481,474,,,,
91803,548300,918.5,776,784,743,767.6666667,,492,494,,,,
91910,400100,930.5,242,212,187,213.6666667,,289,560,,,,
91913,457300,934.5,343,352,345,346.6666667,,391,584,,,,
91914,609900,945.75,131,132,121,128,,536,644.5,,,,
91915,453700,950.6666667,145,150,145,146.6666667,,385,677.5,,,,
91932,382600,900,15,14,13,14,,271,381.5,,,,
91941,514100,881.8,201,184,170,185,,458,301,,,,
91942,414000,945.5,38,32,31,33.66666667,,316,641.5,,,,
91945,348000,873,18,18,14,16.66666667,,229,262,,,,
91950,317600,917,14,16,11,13.66666667,,196,484.5,,,,
91977,359000,854.5,34,31,38,34.33333333,,242,197.5,,,,
91978,414200,770,14,12,20,15.33333333,,318,31,,,,
92008,718500,957.8333333,265,276,287,276,,632,710,,,,
92009,736500,967.8,465,445,427,445.6666667,,649,771,,,,
92011,767800,986,91,108,113,104,,666,826,,,,
92014,1606500,975.5,65,73,66,68,,809,797,,,,
92019,435900,890.75,124,117,116,119,,357.5,331,,,,
92020,416600,830,166,196,251,204.3333333,,326,120.5,,,,
92024,803000,959.4,204,186,183,191,,686,720,,,,
92025,434900,885.6,187,196,181,188,,354,310,,,,
92026,412100,883.6666667,191,184,175,183.3333333,,313,305.5,,,,
92027,367900,854.1666667,127,144,146,139,,251,194,,,,
92028,487100,839,28,17,21,22,,431.5,145,,,,
92029,630500,967,27,26,21,24.66666667,,554,767.5,,,,
92036,293500,863,41,38,36,38.33333333,,173,230,,,,
92037,1282800,980.4,244,256,238,246,,786,811,,,,
92056,412800,918.3333333,162,166,168,165.3333333,,314,492.5,,,,
92057,382000,912.6666667,228,235,243,235.3333333,,270,457,,,,
92064,606400,951.1,628,543,540,570.3333333,,533,681,,,,
92065,433000,819,14,13,12,13,,353,94.5,,,,
92067,2737100,989,34,39,44,39,,830,829.5,,,,
92069,435800,955.5,272,270,291,277.6666667,,356,702.5,,,,
92071,396000,898.6666667,58,59,62,59.66666667,,282,375,,,,
92075,1172600,979,51,44,42,45.66666667,,768,806.5,,,,
92078,502000,931.3333333,304,303,363,323.3333333,,447,567,,,,
92081,466600,871,70,63,49,60.66666667,,401,256,,,,
92083,366800,922.5,38,30,36,34.66666667,,250,515.5,,,,
92084,447300,926.5,40,53,62,51.66666667,,375,544,,,,
92101,486800,897,21,27,22,23.33333333,,429,363.5,,,,
92102,363200,846.4,142,138,122,134,,246,162,,,,
92103,611200,902,34,40,40,38,,540,397,,,,
92104,478800,895,32,30,25,29,,419.5,354.5,,,,
92105,318500,819.6666667,716,719,769,734.6666667,,197,96,,,,
92106,925700,889.8,101,98,104,101,,723,324.5,,,,
92109,718700,805,46,33,25,34.66666667,,633,74,,,,
92111,474300,855.1818182,531,529,493,517.6666667,,415,200,,,,
92113,303300,784.5,85,86,78,83,,186,50,,,,
92114,342000,849.6666667,148,160,162,156.6666667,,224,172,,,,
92115,397100,803.6666667,610,639,820,689.6666667,,284,73,,,,
92116,461600,899,43,45,39,42.33333333,,395,377.5,,,,
92117,513200,864.125,311,310,310,310.3333333,,456,233,,,,
92118,1424100,946,68,59,61,62.66666667,,800,648,,,,
92119,487000,931.6666667,93,86,76,85,,430,569,,,,
92120,506600,916.3333333,418,443,484,448.3333333,,448,480,,,,
92121,515300,671,34,27,25,28.66666667,,460,3,,,,
92122,589500,941.6,411,430,406,415.6666667,,521,621,,,,
