Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg
90703,634800.0,801.555555556,2607.0,2717.0,2881.0,2735.0
95662,330800.0,801.2,538.0,534.0,536.0,536.0
92587,345300.0,801.0,264.0,241.0,251.0,252.0
92692,634400.0,800.833333333,1054.0,1102.0,1066.0,1074.0
90755,406800.0,800.333333333,628.0,644.0,754.0,675.333333333
95816,425100.0,800.0,469.0,509.0,495.0,491.0
92124,545000.0,800.0,1650.0,1608.0,1582.0,1613.33333333
90012,408700.0,800.0,1660.0,1758.0,1744.0,1720.66666667
92869,614000.0,799.8,2899.0,2959.0,2992.0,2950.0
95757,378600.0,799.6,1812.0,1881.0,1906.0,1866.33333333
95758,293400.0,799.5,1356.0,1409.0,1452.0,1405.66666667
94947,625300.0,799.333333333,701.0,799.0,811.0,770.333333333
95446,338300.0,799.0,46.0,45.0,53.0,48.0
95634,224900.0,799.0,31.0,28.0,17.0,25.3333333333
92562,366100.0,798.9,2794.0,2903.0,2954.0,2883.66666667
95672,382100.0,798.666666667,200.0,210.0,206.0,205.333333333
92019,435900.0,798.545454545,2060.0,2081.0,2081.0,2074.0
94710,662800.0,798.0,105.0,105.0,94.0,101.333333333
95222,256700.0,798.0,81.0,88.0,106.0,91.6666666667
92870,568400.0,797.8125,4297.0,4349.0,4467.0,4371.0
92078,502000.0,797.625,1753.0,1812.0,1969.0,1844.66666667
92649,679100.0,797.5,717.0,748.0,804.0,756.333333333
92677,727400.0,797.0,813.0,862.0,868.0,847.666666667
95405,445700.0,796.25,286.0,298.0,317.0,300.333333333
94607,409500.0,796.0,232.0,243.0,255.0,243.333333333
90015,571300.0,795.5,1886.0,1861.0,1901.0,1882.66666667
91941,514100.0,795.4,2048.0,2177.0,2226.0,2150.33333333
90024,986200.0,795.0,472.0,428.0,366.0,422.0
91740,447100.0,795.0,722.0,750.0,759.0,743.666666667
94044,714100.0,794.857142857,757.0,779.0,820.0,785.333333333
91350,456400.0,794.444444444,1285.0,1318.0,1343.0,1315.33333333
92008,718500.0,794.1,1659.0,1697.0,1701.0,1685.66666667
95357,231700.0,793.75,1306.0,1302.0,1288.0,1298.66666667
93460,755800.0,793.666666667,374.0,387.0,420.0,393.666666667
92832,431400.0,793.6,2142.0,2110.0,2123.0,2125.0
90601,432600.0,793.571428571,4112.0,3964.0,4005.0,4027.0
93311,266000.0,793.545454545,3074.0,3293.0,3441.0,3269.33333333
94122,980300.0,793.5,190.0,197.0,199.0,195.333333333
91724,481800.0,793.4,2127.0,2116.0,2064.0,2102.33333333
91606,452000.0,793.4,2962.0,2794.0,2481.0,2745.66666667
94501,727800.0,793.266666667,840.0,887.0,953.0,893.333333333
94585,286000.0,793.25,581.0,607.0,682.0,623.333333333
94523,596100.0,793.111111111,1110.0,1202.0,1247.0,1186.33333333
92069,435800.0,793.0,3898.0,3982.0,3988.0,3956.0
92626,641900.0,793.0,2899.0,3010.0,3066.0,2991.66666667
90631,469300.0,793.0,5850.0,5766.0,5786.0,5800.66666667
94005,675800.0,793.0,102.0,99.0,87.0,96.0
93063,478800.0,792.818181818,1538.0,1608.0,1625.0,1590.33333333
95377,414600.0,792.2,1136.0,1202.0,1259.0,1199.0
93265,220400.0,792.0,41.0,36.0,37.0,38.0
91360,602000.0,791.777777778,1072.0,1214.0,1268.0,1184.66666667
92860,467800.0,791.444444444,2095.0,2109.0,2154.0,2119.33333333
91786,402400.0,791.4,3082.0,3068.0,3148.0,3099.33333333
94551,563900.0,791.333333333,1018.0,1091.0,1107.0,1072.0
93433,381900.0,791.0,453.0,446.0,446.0,448.333333333
92109,718700.0,790.857142857,1530.0,1407.0,1303.0,1413.33333333
93711,291500.0,790.666666667,734.0,792.0,867.0,797.666666667
93551,302900.0,790.4,3809.0,4123.0,3945.0,3959.0
91205,508400.0,790.4,1294.0,1308.0,1357.0,1319.66666667
90242,414700.0,790.3,4853.0,4817.0,4782.0,4817.33333333
93536,259400.0,790.153846154,3812.0,3959.0,3721.0,3830.66666667
92881,464300.0,789.833333333,3243.0,3302.0,3351.0,3298.66666667
93013,773600.0,789.8,1185.0,1178.0,1164.0,1175.66666667
92567,262800.0,789.75,1001.0,1056.0,1107.0,1054.66666667
92653,658300.0,789.75,813.0,829.0,867.0,836.333333333
90746,442000.0,789.428571429,770.0,770.0,795.0,778.333333333
95692,227300.0,789.333333333,269.0,273.0,259.0,267.0
91367,625800.0,789.0,2009.0,1961.0,2003.0,1991.0
91304,528800.0,788.6,1375.0,1303.0,1306.0,1328.0
92024,803000.0,788.5,1030.0,1051.0,1091.0,1057.33333333
92277,93200.0,788.285714286,651.0,670.0,638.0,653.0
92630,597800.0,788.25,2009.0,2215.0,2294.0,2172.66666667
95829,301700.0,788.2,963.0,1008.0,1025.0,998.666666667
94619,533000.0,788.111111111,853.0,917.0,945.0,905.0
91204,424600.0,788.0,250.0,258.0,278.0,262.0
90650,375800.0,788.0,10071.0,9743.0,9607.0,9807.0
95338,224400.0,788.0,92.0,99.0,120.0,103.666666667
92504,274700.0,787.888888889,3908.0,3931.0,4051.0,3963.33333333
95219,307600.0,787.8,859.0,921.0,988.0,922.666666667
93631,223500.0,787.285714286,1731.0,1758.0,1816.0,1768.33333333
92116,461600.0,787.0,515.0,497.0,502.0,504.666666667
93723,272600.0,787.0,636.0,656.0,695.0,662.333333333
93271,265300.0,787.0,20.0,20.0,22.0,20.6666666667
93654,170100.0,786.8,3462.0,3523.0,3635.0,3540.0
90723,321000.0,786.642857143,8832.0,8906.0,8953.0,8897.0
95843,304600.0,786.636363636,1039.0,1090.0,1178.0,1102.33333333
96022,190200.0,786.6,200.0,221.0,241.0,220.666666667
90270,371400.0,786.6,2677.0,2692.0,2645.0,2671.33333333
91803,548300.0,786.0,1188.0,1212.0,1207.0,1202.33333333
91911,372300.0,785.5,8384.0,8444.0,8310.0,8379.33333333
95624,329700.0,785.388888889,2762.0,2792.0,2867.0,2807.0
92336,377900.0,785.285714286,10076.0,10038.0,9889.0,10001.0
90806,422800.0,785.25,1348.0,1427.0,1452.0,1409.0
92373,419100.0,785.125,1131.0,1138.0,1119.0,1129.33333333
95366,339300.0,784.833333333,673.0,738.0,732.0,714.333333333
96019,150900.0,784.666666667,152.0,173.0,162.0,162.333333333
90606,382400.0,784.625,3591.0,3586.0,3541.0,3572.66666667
95379,164600.0,784.5,63.0,57.0,69.0,63.0
90065,599100.0,784.416666667,3534.0,3504.0,3337.0,3458.33333333
94546,581500.0,784.363636364,1365.0,1380.0,1451.0,1398.66666667
94954,500000.0,784.333333333,534.0,580.0,603.0,572.333333333
96097,132300.0,784.333333333,123.0,128.0,173.0,141.333333333
92551,231400.0,784.25,4821.0,4821.0,4753.0,4798.33333333
92020,416600.0,784.076923077,2037.0,2134.0,2146.0,2105.66666667
93449,694100.0,784.0,207.0,227.0,226.0,220.0
93463,664300.0,784.0,189.0,192.0,208.0,196.333333333
92082,503200.0,783.6,1104.0,1103.0,1134.0,1113.66666667
91364,766500.0,783.571428571,947.0,851.0,874.0,890.666666667
95959,368800.0,783.5,65.0,75.0,84.0,74.6666666667
91761,357500.0,783.181818182,4996.0,5006.0,5001.0,5001.0
95472,653200.0,783.0,403.0,451.0,483.0,445.666666667
95819,424500.0,783.0,418.0,452.0,433.0,434.333333333
92307,200400.0,782.857142857,1846.0,1880.0,1792.0,1839.33333333
92139,341000.0,782.714285714,1585.0,1560.0,1562.0,1569.0
92530,254000.0,782.5,3001.0,4173.0,4214.0,3796.0
90713,484900.0,782.285714286,3743.0,3624.0,3585.0,3650.66666667
93656,131700.0,782.25,891.0,919.0,972.0,927.333333333
95831,356500.0,782.2,1037.0,1075.0,1096.0,1069.33333333
95460,537600.0,782.0,13.0,23.0,19.0,18.3333333333
93066,967300.0,782.0,373.0,390.0,389.0,384.0
93035,487600.0,781.75,1284.0,1450.0,1583.0,1439.0
91945,348000.0,781.4,980.0,973.0,1374.0,1109.0
91723,436100.0,781.333333333,3602.0,3630.0,3532.0,3588.0
95008,890500.0,781.166666667,1312.0,1399.0,1428.0,1379.66666667
92701,372000.0,781.153846154,7349.0,7447.0,7481.0,7425.66666667
91502,445800.0,781.0,540.0,525.0,492.0,519.0
93004,479800.0,780.75,605.0,591.0,586.0,594.0
94960,992700.0,780.0,59.0,68.0,72.0,66.3333333333
95562,181100.0,780.0,49.0,36.0,40.0,41.6666666667
93245,182200.0,780.0,2341.0,2372.0,2518.0,2410.33333333
92313,295500.0,780.0,1088.0,1101.0,1164.0,1117.66666667
92256,112600.0,780.0,29.0,33.0,31.0,31.0
94066,732000.0,779.75,1399.0,1393.0,1409.0,1400.33333333
92392,190900.0,779.6875,5827.0,6262.0,5994.0,6027.66666667
95407,387700.0,779.625,2566.0,2663.0,2549.0,2592.66666667
92691,606600.0,779.266666667,2807.0,2852.0,2874.0,2844.33333333
95834,311500.0,779.0,937.0,937.0,943.0,939.0
95228,328200.0,779.0,27.0,22.0,29.0,26.0
94561,337400.0,778.777777778,2332.0,2430.0,2532.0,2431.33333333
93117,754600.0,778.555555556,1905.0,1913.0,1935.0,1917.66666667
93555,151700.0,778.555555556,831.0,842.0,894.0,855.666666667
